,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,アルジーヌ,牝5,55.0,幸英明,中内田,栗東,2020100148,00732,ロードカナロア ,キャトルフィーユ ,ディープインパクト ,1.463663578386114,2
1,2,2,ビヨンドザヴァレー,牝5,55.0,菱田,橋口,栗東,2020103099,01144,イスラボニータ ,リリーオブザヴァレー Lily of the Valley(仏) ,Galileo (愛) ,1.256850598344518,3
2,3,3,タガノエルピーダ,牝4,55.0,団野,斉藤崇,栗東,2021106550,01180,キズナ ,タガノレヴェントン ,キングカメハメハ ,0.40111896637874156,4
3,3,4,ソーダズリング,牝5,55.0,坂井,新谷,栗東,2020102928,01163,ハーツクライ ,ソーマジック ,シンボリクリスエス ,-0.34696358368161523,7
4,4,5,ドゥアイズ,牝5,55.0,鮫島駿,庄野,栗東,2020103732,01157,ルーラーシップ ,ローズマンブリッジ ,ディープインパクト ,0.31654406534461854,5
5,4,6,ドナベティ,牝4,55.0,藤岡佑,矢作,栗東,2021100210,01093,リアルスティール ,ドナルチア ,Malibu Moon ,-1.7432385886608952,13
6,5,7,スウィープフィート,牝4,55.0,横山典,庄野,栗東,2021103959,00660,スワーヴリチャード ,ビジュートウショウ ,ディープスカイ ,-0.9429851842805201,9
7,5,8,キミノナハマリア,牝5,55.0,Ｍデムーロ,千田,栗東,2020102873,05212,ハービンジャー Harbinger(英) ,シャドウマリア ,ヴィクトワールピサ ,-2.197594499376678,14
8,6,9,ラヴァンダ,牝4,55.0,岩田望,中村,栗東,2021107098,01174,シルバーステート ,ゴッドパイレーツ ,ベーカバド Behkabad(仏) ,-1.0552660995345278,10
9,6,10,ボンドガール,牝4,55.0,武豊,手塚久,美浦,2021107179,00666,ダイワメジャー ,コーステッド Coasted(米) ,Tizway (米) ,2.3454039710014962,1
10,7,11,サフィラ,牝4,55.0,松山,池添,栗東,2021105541,01126,ハーツクライ ,サロミナ Salomina(独) ,Lomitas ,-1.6215311456876227,12
11,7,12,ヒルノローザンヌ,牝6,55.0,池添,西村,栗東,2019100581,01032,キズナ ,フィックルベリー ,Cryptoclearance ,-1.3087833880994006,11
12,8,13,ウンブライル,牝5,55.0,シュタルケ,木村,美浦,2020103674,05115,ロードカナロア ,ラルケット ,ファルブラヴ Falbrav(愛) ,-0.4189283900874519,8
13,8,14,イフェイオン,牝4,55.0,北村友,杉山佳,栗東,2021104955,01102,エピファネイア ,イチオクノホシ ,ゼンノロブロイ ,-0.10030709540867408,6
