,race_type,course_len,ground_state,class,avg_pop,pop_1_count,pop_2_count,pop_3_count,pop_4_count,pop_5_count,pop_6_count,pop_7_count,pop_8_count,pop_9_count,pop_10_count,pop_11_count,pop_12_count,pop_13_count,pop_14_count,pop_15_count,pop_16_count,pop_17_count,pop_18_count
0,芝,1200,全,all,6.03,51,38,34,24,23,20,16,15,6,8,9,5,3,5,1,3,1,2
1,芝,1200,良,all,5.88,40,31,29,19,18,13,15,12,4,7,7,3,1,3,1,2,1,1
2,芝,1200,稍重,all,6.07,7,3,2,3,3,5,1,3,2,1,0,1,1,0,0,0,0,1
3,芝,1200,重,all,7.19,4,4,3,2,2,2,0,0,0,0,2,1,1,2,0,1,0,0
4,芝,1200,不良,all,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,芝,1200,全,未勝利,4.9,20,14,10,10,8,5,5,4,1,5,0,3,0,1,0,0,0,1
6,芝,1200,良,未勝利,4.57,17,12,8,7,7,4,4,4,1,4,0,1,0,0,0,0,0,0
7,芝,1200,稍重,未勝利,6.25,2,1,1,2,1,1,1,0,0,1,0,1,0,0,0,0,0,1
8,芝,1200,重,未勝利,6.0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
9,芝,1200,不良,未勝利,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,芝,1200,全,新馬,6.86,7,7,6,1,5,4,3,2,0,2,0,0,0,1,1,0,0,0
11,芝,1200,良,新馬,6.79,4,6,5,1,3,2,3,2,0,2,0,0,0,1,1,0,0,0
12,芝,1200,稍重,新馬,7.2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13,芝,1200,重,新馬,7.07,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
14,芝,1200,不良,新馬,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,芝,1200,全,1勝クラス,6.19,11,11,11,9,5,5,6,6,3,0,4,1,2,2,0,2,0,0
16,芝,1200,良,1勝クラス,5.99,9,9,9,7,4,3,6,4,1,0,3,1,1,2,0,1,0,0
17,芝,1200,稍重,1勝クラス,6.28,2,1,1,1,1,1,0,2,2,0,0,0,1,0,0,0,0,0
18,芝,1200,重,1勝クラス,8.01,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
19,芝,1200,不良,1勝クラス,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,芝,1200,全,2勝クラス,7.04,5,5,1,2,3,2,2,1,0,1,2,1,0,1,0,0,1,0
21,芝,1200,良,2勝クラス,7.13,4,3,1,2,3,1,2,1,0,1,1,1,0,0,0,0,1,0
22,芝,1200,稍重,2勝クラス,4.5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23,芝,1200,重,2勝クラス,9.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
