,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,キュクヌス,牝3,54.0,岩田望,池江,栗東,2021110088,01174,Saxon Warrior (安平町) ,フォローアドリーム ,Giant's Causeway (米) ,-2.4828790807861383,17
1,1,2,マルカオペラ,牝3,54.0,北村友,浜田,栗東,2021104978,01102,ハービンジャー Harbinger(英) ,エトワールドパリ ,クロフネ ,0.05055177559993854,9
2,2,3,オーシャントライブ,セ4,58.0,幸,高柳大,栗東,2020103538,00732,ルーラーシップ ,パープルセイル ,フジキセキ ,1.2239244862437215,3
3,2,4,デルシエロ,牡3,56.0,Ｈドイル,清水久,栗東,2021103520,05625,レイデオロ ,ネオヴィクトリア ,ディープインパクト ,-0.995301030259835,14
4,3,5,サンウリエル,牡3,56.0,浜中,宮本,栗東,2021101304,01115,ディーマジェスティ ,ピントゥハティ ,アドマイヤムーン ,1.0988111630034676,4
5,3,6,エガオニナッテ,牝3,54.0,秋山稔,高橋康,栗東,2021101601,01181,トーホウジャッカル ,トーホウアイランド ,Power ,-2.5869237675347914,18
6,4,7,ドゥーカスコーリ,牝3,52.0,△高杉,石坂,栗東,2021104886,01213,ダイワメジャー ,ダイワダッチェス ,ワークフォース Workforce(英) ,-1.6769893791925057,16
7,4,8,ステラクラウン,牝3,54.0,岩田康,上村,栗東,2021101454,05203,ルーラーシップ ,レッドステラーノ ,アグネスタキオン ,2.716550275916456,1
8,5,9,ヴィヴィッシモ,牡4,58.0,Ｍデムーロ,松永幹,栗東,2020102637,05212,ジャスタウェイ ,エスティタート ,ドリームジャーニー ,-0.038468156712149475,10
9,5,10,ナムライリス,牝3,51.0,▲柴田裕,中竹,栗東,2021101825,01212,マクフィ Makfi(英) ,ナムラアピア ,クロフネ ,-1.2895949875206965,15
10,6,11,エイユーキュート,牝3,54.0,国分恭,森田,栗東,2021105960,01124,エピファネイア ,サルスエラ ,マンハッタンカフェ ,0.39841680055035006,8
11,6,12,アレンテージョ,牡4,58.0,西村淳,坂口,栗東,2020102539,01171,フェノーメノ ,アルアマーナ ,ディープインパクト ,1.6467967371428398,2
12,7,13,クスクス,牝3,54.0,荻野極,松下,栗東,2021103665,01160,リーチザクラウン ,ヴァリアントレディ ,ウォーエンブレム War Emblem(米) ,-0.3855091647390744,12
13,7,14,エボルヴィング,牡3,55.0,☆西塚,藤原,栗東,2021105865,01200,ハーツクライ ,リリサイド Liliside(仏) ,American Post ,0.816605975501163,6
14,7,15,ホウオウセイメイ,セ3,54.0,△吉村,音無,栗東,2021105819,01216,レイデオロ ,モルガナイト ,アグネスデジタル ,0.4179675421062786,7
15,8,16,ガルムキャット,牡4,58.0,斎藤,高橋一,栗東,2020101587,01178,ハーツクライ ,パスオブドリームズ Path of Dreams(米) ,Giant's Causeway (米) ,-0.6625771169062791,13
16,8,17,タマモランプ,牡3,56.0,池添,池添,栗東,2021101557,01032,サトノアラジン ,タマモピアス ,キングカメハメハ ,0.9777980319748084,5
17,8,18,ヴェルテンベルク,牡4,58.0,藤岡佑,宮本,栗東,2020103060,01093,キタサンブラック ,マルカアイチャン ,フレンチデピュティ French Deputy(米) ,-0.31950628689574156,11
