,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,タイセイアビリティ,牡3,57.0,斎藤,小林,栗東,2022102799,01178,フォーウィールドライブ  Four Wheel Drive(米)  ,ブラジリアンビューティ  Brazilian Beauty(英)  ,Galileo  (愛)  ,-3.5473739070881405,12
1,2,2,ジェンダアネモス,牝3,52.0,▲舟山,伊坂,美浦,2022102923,01221,タワーオブロンドン  ,ヴェイルオブクララ  ,ゼンノロブロイ  ,-0.3909445880691703,7
2,3,3,ステラノヴァ,牡3,57.0,武豊,千田,栗東,2022103482,00666,ベストウォーリア  ,マリアローザ  ,フジキセキ  ,-3.3754167600614786,11
3,4,4,ウェカピポ,牡3,56.0,☆松本,矢嶋,美浦,2022104488,01191,ルーラーシップ  ,アールマティーニ  ,Majesticperfection  (米)  ,0.17750107975723234,6
4,5,5,フルグライト,牡3,57.0,松岡,堀内,美浦,2022102555,01085,オーヴァルエース  ,タガノディナー  ,タニノギムレット  ,0.5029095963380216,2
5,5,6,セイルロケット,牡3,55.0,△鷲頭,橋口,栗東,2022104858,01202,スワーヴリチャード  ,スプリングゲイル  ,キンシャサノキセキ  ,0.22127639855247858,5
6,6,7,タイセイルヴァン,牡3,57.0,丹内,新開,美浦,2022103859,01091,ルヴァンスレーヴ  ,コウエイラブリー  ,エンパイアメーカー  Empire Maker(米)  ,1.271813720149922,1
7,6,8,リュウジンオー,牡3,57.0,池添,野中,栗東,2022103234,01032,ミッキーアイル  ,ビリオネア  ,タニノギムレット  ,-1.8885305490248774,9
8,7,9,バーミーズルビー,牝3,52.0,▲古川奈,小林,栗東,2022105444,01190,ブリックスアンドモルタル  Bricks and Mortar(米)  ,ハーエミネンシー  Her Emmynency(米)  ,Successful Appeal  (米)  ,0.4172073204680633,3
9,7,10,コッコラーレ,牝3,52.0,▲和田陽,鈴木孝,栗東,2022107411,01223,タワーオブロンドン  ,モエレサンタマリア  ,ゴールドヘイロー  ,0.31266717971169156,4
10,8,11,エレレラナキラ,牡3,54.0,▲柴田裕,牧,美浦,2022101382,01212,ノーブルミッション  Noble Mission(英)  ,プレアデスマリーン  ,スペシャルウィーク  ,-1.7534156316024123,8
11,8,12,ブラックエンパイア,牡3,57.0,荻野琢,松永康,美浦,2022104343,01112,ゴールドドリーム  ,タマモスズラン  ,サウスヴィグラス  ,-3.2887759681544932,10
