race_type,course_len,ground_state,class,馬番,1着,2着,3着,着外
ダート,1150,不良,1勝クラス,1,0,1,0,2
ダート,1150,不良,1勝クラス,2,1,0,0,2
ダート,1150,不良,1勝クラス,3,1,0,0,2
ダート,1150,不良,1勝クラス,4,0,0,1,2
ダート,1150,不良,1勝クラス,5,0,0,0,3
ダート,1150,不良,1勝クラス,6,0,1,0,2
ダート,1150,不良,1勝クラス,7,0,1,1,1
ダート,1150,不良,1勝クラス,8,1,0,0,2
ダート,1150,不良,1勝クラス,9,0,0,0,3
ダート,1150,不良,1勝クラス,10,0,0,1,2
ダート,1150,不良,1勝クラス,11,0,0,0,3
ダート,1150,不良,1勝クラス,12,0,0,0,3
ダート,1150,不良,1勝クラス,13,0,0,0,3
ダート,1150,不良,1勝クラス,14,0,0,0,3
ダート,1150,不良,1勝クラス,15,0,0,0,3
ダート,1150,不良,1勝クラス,16,0,0,0,3
ダート,1150,不良,2勝クラス,1,0,0,0,1
ダート,1150,不良,2勝クラス,2,0,0,0,1
ダート,1150,不良,2勝クラス,3,1,0,0,0
ダート,1150,不良,2勝クラス,4,0,0,0,1
ダート,1150,不良,2勝クラス,5,0,0,0,1
ダート,1150,不良,2勝クラス,6,0,0,0,1
ダート,1150,不良,2勝クラス,7,0,0,0,1
ダート,1150,不良,2勝クラス,8,0,0,0,1
ダート,1150,不良,2勝クラス,9,0,0,0,1
ダート,1150,不良,2勝クラス,10,0,0,0,1
ダート,1150,不良,2勝クラス,11,0,1,0,0
ダート,1150,不良,2勝クラス,12,0,0,0,1
ダート,1150,不良,2勝クラス,13,0,0,0,1
ダート,1150,不良,2勝クラス,14,0,0,0,1
ダート,1150,不良,2勝クラス,15,0,0,1,0
ダート,1150,不良,3勝クラス,1,0,1,0,0
ダート,1150,不良,3勝クラス,2,1,0,0,0
ダート,1150,不良,3勝クラス,3,0,0,0,1
ダート,1150,不良,3勝クラス,4,0,0,0,1
ダート,1150,不良,3勝クラス,5,0,0,0,1
ダート,1150,不良,3勝クラス,6,0,0,0,1
ダート,1150,不良,3勝クラス,7,0,0,0,1
ダート,1150,不良,3勝クラス,8,0,0,0,1
ダート,1150,不良,3勝クラス,9,0,0,0,1
ダート,1150,不良,3勝クラス,10,0,0,0,1
ダート,1150,不良,3勝クラス,11,0,0,0,1
ダート,1150,不良,3勝クラス,12,0,0,0,1
ダート,1150,不良,3勝クラス,13,0,0,0,1
ダート,1150,不良,3勝クラス,14,0,0,0,1
ダート,1150,不良,3勝クラス,15,0,0,0,1
ダート,1150,不良,3勝クラス,16,0,0,1,0
ダート,1150,不良,all,1,1,2,1,8
ダート,1150,不良,all,2,2,1,0,9
ダート,1150,不良,all,3,2,1,0,9
ダート,1150,不良,all,4,1,0,3,8
ダート,1150,不良,all,5,0,0,0,12
ダート,1150,不良,all,6,0,2,0,10
ダート,1150,不良,all,7,1,3,1,7
ダート,1150,不良,all,8,2,0,0,10
