,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,マンゲタック,牝3,55.0,武豊,古賀,美浦,2022103679,00666,ノーブルミッション  Noble Mission(英)  ,ラフォリア  ,マンハッタンカフェ  ,-3.7203602709301347,11
1,2,2,ルルファーレ,牝3,52.0,▲小林美,菊沢,美浦,2022102502,01206,サートゥルナーリア  ,スコアズビー  ,ロックオブジブラルタル  ,0.775235647696743,4
2,3,3,リラゲイル,牡3,57.0,佐々木,須貝,栗東,2022103518,01197,ブリックスアンドモルタル  Bricks and Mortar(米)  ,シルヴァーコード  ,スウェプトオーヴァーボード  Swept Overboard(米)  ,1.958428119680558,3
3,3,4,シャンパングラス,牡3,57.0,鮫島駿,池上,美浦,2022104932,01157,エピファネイア  ,ドゥシャンパーニュ  ,ロードカナロア  ,2.1239514215155104,1
4,4,5,キュイジニエール,牝3,55.0,横山武,新谷,栗東,2022105426,01170,エピファネイア  ,トロワゼトワル  ,ロードカナロア  ,2.074565023552912,2
5,4,6,トーセンアーロン,牡3,57.0,原田和,小笠,美浦,2022105644,01143,ハイランドリール  Highland Reel(愛)  ,ウィッシングタイム  Wishing Time(愛)  ,Frankel  ,-0.7116290240480291,6
6,5,7,フリアフロリダ,牝3,51.0,△鷲頭,小栗,栗東,2022110101,01202,Trapeze Artist  (豪)  ,Hummalong  ,Hallowed Crown  ,-5.1758233649973695,13
7,5,8,アルシャンティ,牝3,52.0,▲舟山,茶木,栗東,2022102978,01221,バゴ  Bago(仏)  ,スリーベラミ  ,ディープインパクト  ,-3.3308024895628368,10
8,6,9,ショウナンタハティ,牡3,57.0,キング,大竹,美浦,2022103911,05643,ドレフォン  Drefong(米)  ,ショウナンマシェリ  ,キンシャサノキセキ  ,-4.966458395081915,12
9,6,10,スルースウェイ,牝3,55.0,北村友一,藤岡,栗東,2022101297,01102,モーリス  ,ラヴァリーノ  Ravarino(米)  ,Unbridled's Song  (米)  ,-1.189825961006729,7
10,7,11,ナッシングベター,牝3,55.0,横山琉,稲垣,美浦,2022105819,01192,ジャスタウェイ  ,デリスモア  ,ワークフォース  Workforce(英)  ,-0.1015017536266325,5
11,7,12,オニムシャ,牡3,54.0,▲和田陽,松永幹,栗東,2022100242,01223,シルバーステート  ,スパイチャクラ  ,Shamardal  (米)  ,-5.421239036414681,14
12,8,13,ウインイザナミ,牝3,55.0,丹内,上原博,美浦,2022106229,01091,モーリス  ,コスモネモシン  ,ゼンノロブロイ  ,-1.8204635898507149,8
13,8,14,ウフルピーク,牝3,55.0,藤岡佑,藤岡,栗東,2022104621,01093,ロードカナロア  ,アルーシャ  ,ディープインパクト  ,-2.66037341656599,9
