,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,グランドセントラル,牡4,57.0,秋山稔,北出,栗東,2021104422,01181,シャンハイボビー Shanghai Bobby(米) ,ブリリン ,タイキシャトル ,1.1355766248038803,1
1,2,2,エピファドール,牝4,55.0,小沢,石橋,栗東,2021102710,01185,エピファネイア ,エルパンドール ,ネオユニヴァース ,0.7035594232380022,2
2,3,3,サトノレイズ,牡4,57.0,佐々木,萩原,美浦,2021104961,01197,リーチザクラウン ,インランジェリー In Lingerie(米) ,エンパイアメーカー Empire Maker(米) ,0.5637167838362164,3
3,4,4,イエルバブエナ,牡5,58.0,菊沢,村田,美浦,2020106899,01161,マジェスティックウォリアー Majestic Warrior(米) ,ミンティエアー ,アグネスタキオン ,-2.1521861106099074,11
4,5,5,マーベリックシチー,牡4,54.0,▲柴田裕,岡田,栗東,2021100387,01212,パイロ Pyro(米) ,ラフィネシチー ,ゴールドアリュール ,-2.548612487225016,12
5,5,6,スパークインザアイ,セ8,55.0,▲石田,小島,美浦,2017105392,01203,ルーラーシップ ,スパークオンアイス ,シンボリクリスエス ,-0.6879416934858998,6
6,6,7,ブルーゴールド,牡5,55.0,▲石神道,根本,美浦,2020104951,01209,アイファーソング ,タカラインディ ,エンパイアメーカー Empire Maker(米) ,-1.5348661533156813,8
7,6,8,ケロシンドリームズ,牡4,57.0,鮫島駿,新谷,栗東,2021100238,01157,コパノリッキー ,レッドビアンカ ,ハードスパン Hard Spun(米) ,-0.06513231696084792,5
8,7,9,ガラスノブルース,牡4,57.0,丹内,田村,美浦,2021104276,01091,デクラレーションオブウォー ,スティルウォーター ,キングカメハメハ ,-0.7208979739229574,7
9,7,10,ナチュラルリバー,牡5,58.0,荻野極,宮地,栗東,2020102559,01160,ルーラーシップ ,シナノネージュ ,フレンチデピュティ French Deputy(米) ,-1.728750540755436,9
10,8,11,アレナパラシオ,牡4,54.0,▲川端,四位,栗東,2021100752,01195,シニスターミニスター Sinister Minister(米) ,ルスナイプリンセス ,ファスリエフ Fasliyev(米) ,0.5162896445150096,4
11,8,12,メイショウクモイ,牡5,58.0,藤岡佑,飯田,栗東,2020106922,01093,フリオーソ ,メーシャンス ,ジャスタウェイ ,-1.969100882573755,10
