,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,スマートビクター,牡5,58.0,松岡,吉田,栗東,2019102202,01085,マジェスティックウォリアー Majestic Warrior(米) ,スマートノエル ,ヴァーミリアン ,-0.967745850676069,9
1,2,2,メテオールライト,牝4,56.0,北村宏,萩原,美浦,2020103247,01043,リオンディーズ ,ウインミーティア ,アグネスタキオン ,-0.22657432842094166,4
2,3,3,ショウナンガロ,牡4,58.0,池添,武市,美浦,2020105372,01032,Mendelssohn ,ローンリリー Lonelily(愛) ,Medaglia d'Oro ,0.00371229238015716,1
3,4,4,コースタルテラス,セ5,58.0,木幡巧,矢嶋,美浦,2019105344,01162,ヘニーヒューズ Henny Hughes(米) ,パシフィックギャル ,ゼンノロブロイ ,-0.43068322321915803,6
4,5,5,フリーフロー,牡7,58.0,丸田,宗像,美浦,2017103788,01117,バーディバーディ ,サトノアーチ ,マンハッタンカフェ ,-0.4181944497805669,5
5,6,6,レッドダンルース,牡4,58.0,菅原明,福永,栗東,2020103189,01179,リアルスティール ,アイリッシュシー Irish Sea(愛) ,Galileo (愛) ,-0.9689047710975222,10
6,7,7,ベネロングポイント,牡5,58.0,原,和田郎,美浦,2019104606,01184,ジャスタウェイ ,ライカート ,スウェプトオーヴァーボード Swept Overboard(米) ,-0.22328989172968114,3
7,7,8,サンライズゴラッソ,牡6,58.0,吉田豊,河内,栗東,2018100390,00733,エピファネイア ,ケトルワンアップ Kettleoneup(米) ,Victory Gallop ,-0.7458973412327407,7
8,8,9,グロッシェン,牡3,56.0,横山武,宮田,美浦,2021104844,01170,ニューイヤーズデイ ,キャットコイン ,ステイゴールド ,-0.16091956212588082,2
9,8,10,ラフエイジアン,セ4,58.0,岩田康,中舘,美浦,2020104738,05203,アジアエクスプレス ,アラピンタ Alapinta(英) ,Medicean ,-0.8779304989444517,8
