,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,ワンダフルデイズ,牡2,55.0,団野,高橋忠,栗東,2023107050,01180,ルーラーシップ  ,シーオブラブ  ,ディープインパクト  ,-1.3914836702432851,6
1,2,2,ライツェントライゼ,牝2,55.0,菱田,梅田,栗東,2023106414,01144,リオンディーズ  ,マイネイディール  ,アドマイヤマックス  ,-1.3218971181161911,4
2,3,3,ティアーズクィーン,牝2,55.0,田口,平田,栗東,2023103622,01208,リアルスティール  ,クィーンユニバンス  ,ヴィクトワールピサ  ,-1.945068216449638,8
3,4,4,チョウモーレツ,牝2,52.0,▲川端,羽月,栗東,2023100154,01195,レイデオロ  ,メイショウエバー  ,ブラックタイド  ,-0.12607093256846696,1
4,5,5,ルクスディグニティ,牡2,55.0,長岡,昆,栗東,2023100669,01142,リオンディーズ  ,サトノルミナス  ,ディープインパクト  ,-1.3982536884989751,7
5,5,6,チェルヴァーラ,牡2,55.0,北村友,松下,栗東,2023107106,01102,エピファネイア  ,チェッキーノ  ,キングカメハメハ  ,-2.021313452002869,10
6,6,7,サラサチャーミング,牝2,55.0,松山,高柳大,栗東,2023102601,01126,エピファネイア  ,パイネ  ,ディープインパクト  ,-1.33955271713844,5
7,6,8,ビアリッツ,牝2,52.0,▲田山,北出,栗東,2023102697,01220,ダノンスマッシュ  ,コートダルジャン  ,ハーツクライ  ,-2.356066043697948,11
8,7,9,テイクザスローン,牡2,55.0,富田,武英,栗東,2023103707,01168,サトノクラウン  ,トロイメント  ,ダイワメジャー  ,-2.7606192485208183,12
9,7,10,リアライズブラーヴ,牡2,55.0,川田,杉山晴,栗東,2023103678,01088,エピファネイア  ,イルーシヴキャット  ,キングカメハメハ  ,-2.0113494661039626,9
10,8,11,エチゴドラゴン,牡2,55.0,松若,宮本,栗東,2023102810,01154,リアルスティール  ,ラハイナII  La Haina(智)  ,Milt's Overture  ,-1.057079069750048,3
11,8,12,カラペルソナ,牝2,54.0,☆吉村,斉藤崇,栗東,2023103371,01216,エピファネイア  ,カリーナミア  Carina Mia(米)  ,Malibu Moon  ,-0.5449655058510169,2
