,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,ビリオネアボーイ,牡3,57.0,横山武,新谷,栗東,2022110094,01170,American Pharoah  (米)  ,ザワールドウィノウ  ,Speightstown  (米)  ,-3.6613928251140715,10
1,2,2,アメリータ,牝3,55.0,石川倭,今野,栗東,2022103199,05534,アルアイン  ,アメリカンドミンゴ  ,Scat Daddy  (米)  ,-2.6849135472208276,8
2,3,3,クールメゾン,牝3,52.0,▲柴田裕,藤岡,栗東,2022106341,01212,スワーヴリチャード  ,アドマイヤシリウス  ,キングカメハメハ  ,-0.07820687115060995,3
3,3,4,エピファランド,牝3,55.0,浜中,武幸,栗東,2022105126,01115,エピファネイア  ,ラーゴブルー  ,ハーツクライ  ,1.6592150550055496,1
4,4,5,マイネルレクエルド,牡3,57.0,吉田隼,田島,美浦,2022106829,01095,ダノンバラード  ,ヘリンヌリング  ,アイルハヴアナザー  I'll Have Another(米)  ,-0.6375593421388321,5
5,4,6,アークシャルダーム,牝3,55.0,斎藤,友道,栗東,2022105286,01178,ブリックスアンドモルタル  Bricks and Mortar(米)  ,カルティカ  Kartica(英)  ,Rainbow Quest  (米)  ,-3.867833575842374,11
6,5,7,ペールノエル,牡3,57.0,丹内,西村,栗東,2022104817,01091,モーリス  ,シュプリームギフト  ,ディープインパクト  ,-0.9795880051483122,7
7,5,8,ダブルシルバー,牡3,54.0,▲舟山,小椋,栗東,2022101080,01221,シルバーステート  ,シルバーフォー  ,Majesticperfection  (米)  ,-4.0003956746442855,12
8,6,9,トレヴィ,牝3,55.0,武豊,木村,美浦,2022102988,00666,スワーヴリチャード  ,ドメニカ  Domenica(伯)  ,Redattore  ,0.6920034943429908,2
9,6,10,ワンダーアンジェ,牝3,52.0,▲小林美,吉村,栗東,2022101020,01206,ディーマジェスティ  ,ワンダーポピュレル  ,ケイムホーム  Came Home(米)  ,-4.112811725234124,13
10,7,11,ハクサンミラクル,牡3,57.0,黛,武藤,美浦,2022100325,01109,シルポート  ,アクロスザシャイン  ,タニノギムレット  ,-0.7107912476668202,6
11,7,12,ダイヤノゴトク,牝3,52.0,▲和田陽,小栗,栗東,2022105125,01223,サトノダイヤモンド  ,ランプフィーバー  ,Ghostzapper  ,-4.301007987471747,14
12,8,13,リラゲイル,牡3,57.0,佐々木,須貝,栗東,2022103518,01197,ブリックスアンドモルタル  Bricks and Mortar(米)  ,シルヴァーコード  ,スウェプトオーヴァーボード  Swept Overboard(米)  ,-0.2568798765228224,4
13,8,14,モズグランプリ,牡3,57.0,荻野琢,藤岡,栗東,2022102875,01112,モズアスコット  ,モズソフィ  ,マンハッタンカフェ  ,-3.34509610554895,9
