,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,ヒミノエトワール,牝2,55.0,ルメール,宮地,栗東,2022102388,05339,パイロ Pyro(米) ,ヒミノプリンセス ,マンハッタンカフェ ,1.651900928534384,1
1,2,2,ドクターサクラ,牝2,55.0,鮫島良,河嶋,栗東,2022100847,01099,サンダースノー Thunder Snow(愛) ,ジョーアカリン ,タニノギムレット ,-7.07667459241346,13
2,3,3,インピッシュ,牝2,55.0,菱田,小林,栗東,2022103469,01144,カレンブラックヒル ,ショーエクセレント ,ワイルドラッシュ Wild Rush(米) ,-3.0906983730909614,9
3,4,4,マーゴットジェム,牝2,55.0,長岡,今野,栗東,2022104551,01142,サトノダイヤモンド ,アンシェルブルー ,マンハッタンカフェ ,0.1422896503337421,2
4,4,5,ベレーザフィン,牝2,53.0,△吉村,音無,栗東,2022105092,01216,レイデオロ ,モスカートローザ ,ディープインパクト ,-3.962964490248294,10
5,5,6,ナリタヒカリ,牝2,55.0,幸,荒川,栗東,2022102739,00732,ルヴァンスレーヴ ,ナリタモード ,ナリタセンチュリー ,-0.4422179382879514,4
6,5,7,サラダ,牝2,55.0,藤岡佑,武英,栗東,2022100128,01093,リアルスティール ,エピファレーヌ ,エピファネイア ,-1.1625742855678423,6
7,6,8,ウィッシュソング,牝2,55.0,田中健,中村,栗東,2022101178,01114,アルアイン ,ピンクプリンセス ,シルバーチャーム Silver Charm(米) ,-4.148578531232932,12
8,6,9,アイドルアイズ,牝2,55.0,坂井,新谷,栗東,2022104653,01163,ホッコータルマエ ,ウィキッドアイズ ,オルフェーヴル ,-0.22360376290309147,3
9,7,10,モメン,牝2,55.0,Ｃデムーロ,高橋亮,栗東,2022104414,05473,ダノンレジェンド ,マーヴェリックス ,Smart Strike (加) ,-4.0857941374421864,11
10,7,11,ベルシエル,牝2,54.0,☆田口,高橋忠,栗東,2022100965,01208,ホッコータルマエ ,シャイニングスカイ ,ディープインパクト ,-2.909077337749422,8
11,8,12,ボヌールキャッツ,牝2,55.0,北村友,浜田,栗東,2022105124,01102,ニューイヤーズデイ ,ランニングボブキャッツ ,Running Stag ,-1.1350471310997259,5
12,8,13,ルジャーダ,牝2,55.0,三浦,河内,栗東,2022106649,01122,キズナ ,ドリームジョブ Dream Job(英) ,Dubawi ,-2.168131833039395,7
