,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_type,course_len,weather,ground_state,date,class,horse_id,jockey_id,通過,上り
202103010101,1,6,9,ビレッジイーグル,牡4,60.0,大江原圭,0:2:58.2,nan,8.6,5.0,500,[東] 竹内正洋,障害,2750,曇,良,2021年07月03日,未勝利,2017101376,01120,1-1-1-1,13.0
202103010101,2,3,4,ベイビーステップ,牡7,60.0,伴啓太,0:2:58.4,1,10.1,6.0,496,[東] 菊川正達,障害,2750,曇,良,2021年07月03日,未勝利,2014103156,01149,4-3-2-2,13.0
202103010101,3,2,2,メリディアンローグ,牡4,60.0,五十嵐雄,0:2:58.7,1.3/4,5.1,2.0,482,[東] 藤沢和雄,障害,2750,曇,良,2021年07月03日,未勝利,2017105375,01069,3-4-3-3,13.0
202103010101,4,4,6,シゲルベンガルトラ,牡7,60.0,草野太郎,0:2:59.6,5,6.6,3.0,472,[東] 和田勇介,障害,2750,曇,良,2021年07月03日,未勝利,2014100080,01113,7-7-3-3,13.1
202103010101,5,5,7,ニシノオクタゴン,牡6,60.0,小野寺祐,0:3:00.2,3.1/2,52.4,9.0,488,[東] 田村康仁,障害,2750,曇,良,2021年07月03日,未勝利,2015101779,01123,6-6-5-5,13.1
202103010101,6,4,5,ハーツシンフォニー,牡4,60.0,石神深一,0:3:00.8,3.1/2,7.2,4.0,478,[東] 辻哲英,障害,2750,曇,良,2021年07月03日,未勝利,2017100360,01059,11-10-9-7,13.1
202103010101,7,7,11,キタノギャラクシー,牡4,60.0,植野貴也,0:3:01.9,7,34.1,7.0,486,[東] 松永康利,障害,2750,曇,良,2021年07月03日,未勝利,2017102935,00727,5-5-8-7,13.2
202103010101,8,3,3,モズエロイコ,牡5,60.0,平沢健治,0:3:02.1,1.1/4,2.2,1.0,490,[西] 矢作芳人,障害,2750,曇,良,2021年07月03日,未勝利,2016110061,01067,2-2-6-6,13.2
202103010101,9,6,10,ビッグスコール,牡5,60.0,金子光希,0:3:03.5,9,43.9,8.0,556,[東] 天間昭一,障害,2750,曇,良,2021年07月03日,未勝利,2016105770,01052,7-7-6-9,13.3
202103010101,10,5,8,シンライ,牡5,60.0,蓑島靖典,0:3:03.8,1.3/4,137.3,12.0,476,[東] 菊川正達,障害,2750,曇,良,2021年07月03日,未勝利,2016103260,01068,9-9-10-10,13.4
