,race_type,course_len,ground_state,class,avg_frame,avg_horse,total_winners,frame_1_wins,frame_2_wins,frame_3_wins,frame_4_wins,frame_5_wins,frame_6_wins,frame_7_wins,frame_8_wins,horse_1_wins,horse_2_wins,horse_3_wins,horse_4_wins,horse_5_wins,horse_6_wins,horse_7_wins,horse_8_wins,horse_9_wins,horse_10_wins,horse_11_wins,horse_12_wins,horse_13_wins,horse_14_wins,horse_15_wins,horse_16_wins,horse_17_wins,horse_18_wins
0,芝,1200,全,all,4.41,7.26,257,37,30,37,31,31,28,37,26,24,25,13,22,20,20,22,18,13,16,13,7,11,16,8,9,0,0
1,芝,1200,良,all,4.42,7.37,203,30,23,28,24,24,21,32,21,19,22,10,15,16,12,17,14,13,12,9,5,11,14,5,9,0,0
2,芝,1200,稍重,all,4.11,6.35,32,3,6,4,4,3,5,3,4,2,2,2,6,3,2,1,4,0,2,2,2,0,1,3,0,0,0
3,芝,1200,重,all,3.36,5.4,16,4,1,4,2,3,0,2,0,3,1,1,1,0,3,4,0,0,2,1,0,0,0,0,0,0,0
4,芝,1200,不良,all,5.12,8.0,6,0,0,1,1,1,2,0,1,0,0,0,0,1,3,0,0,0,0,1,0,0,1,0,0,0,0
5,芝,1200,全,未勝利,3.96,6.95,36,6,4,9,3,4,3,4,3,2,6,1,3,5,2,2,3,2,3,1,0,0,4,1,1,0,0
6,芝,1200,良,未勝利,3.9,6.94,28,4,3,6,3,4,3,4,1,2,4,1,1,4,1,2,3,2,2,1,0,0,4,0,1,0,0
7,芝,1200,稍重,未勝利,4.25,6.5,6,1,1,2,0,0,0,0,2,0,1,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0
8,芝,1200,重,未勝利,2.0,4.0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,芝,1200,不良,未勝利,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,芝,1200,全,新馬,3.95,7.14,21,2,4,6,2,1,1,4,1,2,0,0,5,4,1,2,0,1,1,0,1,1,2,0,1,0,0
11,芝,1200,良,新馬,4.0,7.21,18,2,2,5,2,1,1,4,1,2,0,0,3,4,0,2,0,1,1,0,1,1,2,0,1,0,0
12,芝,1200,稍重,新馬,2.25,4.5,3,0,2,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,芝,1200,重,新馬,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,芝,1200,不良,新馬,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,芝,1200,全,1勝クラス,4.16,6.47,50,9,8,6,5,5,7,5,5,9,5,3,4,4,3,4,3,3,0,4,2,1,1,1,3,0,0
16,芝,1200,良,1勝クラス,4.54,7.4,33,7,5,2,3,4,3,4,5,7,4,1,2,2,1,2,3,3,0,1,1,1,1,1,3,0,0
17,芝,1200,稍重,1勝クラス,3.6,5.1,6,0,2,1,0,1,2,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
18,芝,1200,重,1勝クラス,3.21,5.14,8,2,1,2,2,0,0,1,0,2,0,1,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0
19,芝,1200,不良,1勝クラス,5.0,7.33,3,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
20,芝,1200,全,2勝クラス,4.35,6.94,58,10,6,5,10,8,7,6,6,6,6,4,5,3,2,10,4,1,4,4,2,1,4,0,2,0,0
21,芝,1200,良,2勝クラス,4.29,7.0,48,7,6,5,10,4,6,5,5,3,6,4,5,2,1,8,4,1,3,4,1,1,3,0,2,0,0
22,芝,1200,稍重,2勝クラス,4.12,4.88,5,2,0,0,0,1,1,1,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
23,芝,1200,重,2勝クラス,3.67,6.0,3,1,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
24,芝,1200,不良,2勝クラス,6.5,10.0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
25,芝,1200,全,3勝クラス,3.97,6.59,35,5,5,8,3,3,2,5,4,3,4,4,1,2,8,0,1,2,2,0,1,3,1,3,0,0,0
26,芝,1200,良,3勝クラス,3.98,6.54,28,5,4,7,1,3,2,3,3,3,4,3,1,2,6,0,0,2,1,0,1,3,0,2,0,0,0
27,芝,1200,稍重,3勝クラス,5.83,10.0,5,0,1,0,1,0,0,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
28,芝,1200,重,3勝クラス,3.0,6.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,芝,1200,不良,3勝クラス,4.0,6.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30,芝,1200,全,オープン,5.07,8.75,46,5,2,2,7,8,5,10,7,2,3,1,2,1,3,3,7,4,4,3,1,4,3,3,2,0,0
31,芝,1200,良,オープン,4.99,8.75,37,5,2,2,4,6,3,9,6,2,3,1,1,1,2,2,4,4,3,2,1,4,3,2,2,0,0
32,芝,1200,稍重,オープン,5.4,9.1,7,0,0,0,3,1,2,0,1,0,0,0,1,0,1,0,3,0,0,1,0,0,0,1,0,0,0
33,芝,1200,重,オープン,6.0,8.5,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
34,芝,1200,不良,オープン,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,芝,1600,全,all,4.2,6.82,481,71,63,67,77,59,44,48,52,46,44,41,44,36,39,41,36,26,26,16,26,13,20,16,11,0,0
36,芝,1600,良,all,4.2,6.8,381,57,49,51,63,51,32,37,41,38,35,29,37,29,31,33,27,21,21,13,20,11,15,11,10,0,0
37,芝,1600,稍重,all,4.0,6.51,68,9,13,10,10,3,9,6,8,4,8,9,5,5,5,6,6,2,3,3,4,2,2,4,0,0,0
38,芝,1600,重,all,4.26,6.81,25,4,0,5,3,4,3,4,2,4,0,3,0,2,2,2,2,2,2,0,2,0,2,1,1,0,0
39,芝,1600,不良,all,4.7,6.8,7,1,1,1,1,1,0,1,1,0,1,0,2,0,1,0,1,1,0,0,0,0,1,0,0,0,0
40,芝,1600,全,未勝利,3.93,7.13,130,21,18,26,19,14,9,9,14,11,11,11,12,13,9,9,11,6,7,4,5,2,6,8,5,0,0
41,芝,1600,良,未勝利,3.98,7.22,95,15,13,18,15,10,7,6,11,6,10,7,10,11,4,7,8,4,5,3,5,1,4,5,5,0,0
42,芝,1600,稍重,未勝利,3.58,6.66,22,4,4,4,3,2,1,2,2,3,1,3,1,1,3,1,2,0,2,1,0,1,1,2,0,0,0
43,芝,1600,重,未勝利,3.57,6.13,10,2,0,3,1,1,1,1,1,2,0,1,0,1,1,1,0,2,0,0,0,0,1,1,0,0,0
44,芝,1600,不良,未勝利,3.33,6.0,3,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
45,芝,1600,全,新馬,4.31,7.88,71,5,16,8,10,10,8,10,4,2,3,11,5,5,4,6,7,5,2,4,8,1,5,1,2,0,0
46,芝,1600,良,新馬,4.22,7.7,57,5,11,7,9,10,6,7,2,2,3,7,4,4,4,6,6,5,2,4,4,1,3,1,1,0,0
47,芝,1600,稍重,新馬,3.56,6.31,10,0,5,1,1,0,1,1,1,0,0,4,1,1,0,0,1,0,0,0,2,0,1,0,0,0,0
48,芝,1600,重,新馬,7.0,13.33,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
49,芝,1600,不良,新馬,7.0,14.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50,芝,1600,全,1勝クラス,4.36,6.19,98,12,14,7,18,17,12,12,6,10,12,4,12,7,10,14,6,5,5,3,3,2,1,3,1,0,0
51,芝,1600,良,1勝クラス,4.35,6.1,83,10,12,6,16,15,9,11,4,9,10,4,10,5,8,14,4,4,5,3,2,2,1,1,1,0,0
52,芝,1600,稍重,1勝クラス,4.33,6.28,14,2,2,1,2,1,3,1,2,1,2,0,2,1,2,0,2,1,0,0,1,0,0,2,0,0,0
53,芝,1600,重,1勝クラス,5.0,5.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54,芝,1600,不良,1勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,芝,1600,全,2勝クラス,4.63,6.63,64,7,5,11,8,8,6,7,12,5,6,10,3,3,6,5,4,5,5,1,6,2,1,1,1,0,0
56,芝,1600,良,2勝クラス,4.51,6.54,47,7,4,8,5,7,3,4,9,5,5,7,2,3,5,2,3,3,3,0,5,1,1,1,1,0,0
57,芝,1600,稍重,2勝クラス,5.08,7.38,10,0,1,2,1,0,2,2,2,0,1,2,0,0,0,2,1,1,0,1,1,1,0,0,0,0,0
58,芝,1600,重,2勝クラス,5.12,7.38,5,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0
59,芝,1600,不良,2勝クラス,6.0,6.5,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60,芝,1600,全,3勝クラス,3.99,6.41,33,9,3,5,6,1,2,3,4,8,2,2,3,1,4,3,2,1,1,1,1,0,2,0,2,0,0
61,芝,1600,良,3勝クラス,4.18,6.77,28,7,2,5,4,1,2,3,4,7,0,2,2,1,4,3,1,1,1,1,1,0,2,0,2,0,0
62,芝,1600,稍重,3勝クラス,3.0,3.0,2,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,芝,1600,重,3勝クラス,2.5,4.5,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
64,芝,1600,不良,3勝クラス,1.0,2.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,芝,1600,全,オープン,4.03,6.65,70,14,6,9,13,9,7,6,6,9,7,3,6,6,6,4,6,4,4,3,3,5,2,2,0,0,0
66,芝,1600,良,オープン,4.18,6.98,58,10,6,6,11,8,5,6,6,8,4,2,6,4,6,1,5,4,4,2,3,5,2,2,0,0,0
67,芝,1600,稍重,オープン,3.3,5.7,9,3,0,2,2,0,2,0,0,0,3,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0
68,芝,1600,重,オープン,2.5,3.25,3,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
69,芝,1600,不良,オープン,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,芝,1800,全,all,4.77,6.93,261,27,32,26,33,33,34,39,37,18,22,22,26,28,15,24,16,14,17,18,10,15,6,7,3,0,0
71,芝,1800,良,all,4.71,6.85,192,19,23,22,24,29,26,22,27,13,16,18,18,26,11,15,11,7,15,14,6,10,3,6,3,0,0
72,芝,1800,稍重,all,4.93,7.03,40,6,3,2,4,4,6,10,5,4,3,2,2,2,1,6,4,6,2,2,2,3,1,0,0,0,0
73,芝,1800,重,all,4.71,7.32,20,1,4,1,4,0,1,4,5,0,3,1,4,0,1,1,1,1,0,2,2,1,2,1,0,0,0
74,芝,1800,不良,all,3.92,5.04,9,1,2,1,1,0,1,3,0,1,0,1,2,0,2,2,0,0,0,0,0,1,0,0,0,0,0
75,芝,1800,全,未勝利,4.45,7.7,61,10,5,12,8,4,4,12,6,6,5,6,3,7,2,5,3,3,3,2,4,4,3,3,2,0,0
76,芝,1800,良,未勝利,4.24,7.35,45,7,5,8,7,4,2,8,4,4,4,6,1,6,1,4,3,2,3,0,3,2,2,2,2,0,0
77,芝,1800,稍重,未勝利,5.06,8.42,10,2,0,2,0,0,2,3,1,1,1,0,1,1,0,0,0,1,0,2,0,2,1,0,0,0,0
78,芝,1800,重,未勝利,6.17,10.83,4,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
