race_type,course_len,ground_state,class,人気,1着,2着,3着,着外
ダート,1300,不良,1勝クラス,1,2,0,0,2
ダート,1300,不良,1勝クラス,2,0,0,1,3
ダート,1300,不良,1勝クラス,3,0,1,0,3
ダート,1300,不良,1勝クラス,4,0,1,0,3
ダート,1300,不良,1勝クラス,5,0,0,1,3
ダート,1300,不良,1勝クラス,6,0,0,1,3
ダート,1300,不良,1勝クラス,7,2,0,0,2
ダート,1300,不良,1勝クラス,8,0,0,0,4
ダート,1300,不良,1勝クラス,9,0,0,1,3
ダート,1300,不良,1勝クラス,10,0,2,0,2
ダート,1300,不良,1勝クラス,11,0,0,0,4
ダート,1300,不良,1勝クラス,12,0,0,0,3
ダート,1300,不良,1勝クラス,13,0,0,0,2
ダート,1300,不良,1勝クラス,14,0,0,0,2
ダート,1300,不良,1勝クラス,15,0,0,0,2
ダート,1300,不良,1勝クラス,16,0,0,0,2
ダート,1300,不良,2勝クラス,1,1,0,1,0
ダート,1300,不良,2勝クラス,2,0,0,0,2
ダート,1300,不良,2勝クラス,3,0,0,0,2
ダート,1300,不良,2勝クラス,4,0,0,0,2
ダート,1300,不良,2勝クラス,5,0,1,0,1
ダート,1300,不良,2勝クラス,6,0,1,0,1
ダート,1300,不良,2勝クラス,7,0,0,0,2
ダート,1300,不良,2勝クラス,8,0,0,0,2
ダート,1300,不良,2勝クラス,9,0,0,0,2
ダート,1300,不良,2勝クラス,10,0,0,0,2
ダート,1300,不良,2勝クラス,11,0,0,0,2
ダート,1300,不良,2勝クラス,12,1,0,0,1
ダート,1300,不良,2勝クラス,13,0,0,0,2
ダート,1300,不良,2勝クラス,14,0,0,0,2
ダート,1300,不良,2勝クラス,15,0,0,0,2
ダート,1300,不良,2勝クラス,16,0,0,1,1
ダート,1300,不良,all,1,4,3,2,5
ダート,1300,不良,all,2,2,3,2,7
ダート,1300,不良,all,3,1,2,0,11
ダート,1300,不良,all,4,3,1,2,8
ダート,1300,不良,all,5,0,1,3,10
ダート,1300,不良,all,6,1,1,3,9
ダート,1300,不良,all,7,2,1,0,11
ダート,1300,不良,all,8,0,0,0,14
ダート,1300,不良,all,9,0,0,1,12
ダート,1300,不良,all,10,0,2,0,12
ダート,1300,不良,all,11,0,0,0,13
ダート,1300,不良,all,12,1,0,0,12
ダート,1300,不良,all,13,0,0,0,12
ダート,1300,不良,all,14,0,0,0,12
ダート,1300,不良,all,15,0,0,0,11
ダート,1300,不良,all,16,0,0,1,10
ダート,1300,不良,未勝利,1,1,3,1,3
ダート,1300,不良,未勝利,2,2,3,1,2
ダート,1300,不良,未勝利,3,1,1,0,6
ダート,1300,不良,未勝利,4,3,0,2,3
ダート,1300,不良,未勝利,5,0,0,2,6
ダート,1300,不良,未勝利,6,1,0,2,5
ダート,1300,不良,未勝利,7,0,1,0,7
ダート,1300,不良,未勝利,8,0,0,0,8
ダート,1300,不良,未勝利,9,0,0,0,7
ダート,1300,不良,未勝利,10,0,0,0,8
ダート,1300,不良,未勝利,11,0,0,0,7
ダート,1300,不良,未勝利,12,0,0,0,8
ダート,1300,不良,未勝利,13,0,0,0,8
ダート,1300,不良,未勝利,14,0,0,0,8
ダート,1300,不良,未勝利,15,0,0,0,7
ダート,1300,不良,未勝利,16,0,0,0,7
ダート,1300,全,1勝クラス,1,17,4,6,8
ダート,1300,全,1勝クラス,2,4,2,4,25
ダート,1300,全,1勝クラス,3,5,5,3,22
ダート,1300,全,1勝クラス,4,3,4,6,22
ダート,1300,全,1勝クラス,5,3,3,5,23
ダート,1300,全,1勝クラス,6,1,5,4,25
ダート,1300,全,1勝クラス,7,2,4,1,28
ダート,1300,全,1勝クラス,8,0,2,0,33
ダート,1300,全,1勝クラス,9,0,0,2,32
ダート,1300,全,1勝クラス,10,0,3,1,30
ダート,1300,全,1勝クラス,11,0,1,1,31
ダート,1300,全,1勝クラス,12,0,2,1,28
ダート,1300,全,1勝クラス,13,0,0,1,29
ダート,1300,全,1勝クラス,14,0,0,0,30
ダート,1300,全,1勝クラス,15,0,0,0,25
ダート,1300,全,1勝クラス,16,0,0,0,23
ダート,1300,全,2勝クラス,1,7,7,5,10
ダート,1300,全,2勝クラス,2,7,3,4,15
ダート,1300,全,2勝クラス,3,1,5,3,20
ダート,1300,全,2勝クラス,4,1,1,4,23
ダート,1300,全,2勝クラス,5,5,4,3,16
ダート,1300,全,2勝クラス,6,1,4,2,22
ダート,1300,全,2勝クラス,7,2,2,4,21
ダート,1300,全,2勝クラス,8,1,1,1,26
