race_type,course_len,ground_state,class,馬番,1着,2着,3着,着外
ダート,1300,不良,1勝クラス,1,0,0,1,3
ダート,1300,不良,1勝クラス,2,0,1,0,3
ダート,1300,不良,1勝クラス,3,0,0,0,4
ダート,1300,不良,1勝クラス,4,0,0,1,3
ダート,1300,不良,1勝クラス,5,2,0,0,2
ダート,1300,不良,1勝クラス,6,1,0,0,3
ダート,1300,不良,1勝クラス,7,0,0,1,3
ダート,1300,不良,1勝クラス,8,0,1,0,3
ダート,1300,不良,1勝クラス,9,0,0,0,4
ダート,1300,不良,1勝クラス,10,0,1,0,3
ダート,1300,不良,1勝クラス,11,0,0,0,4
ダート,1300,不良,1勝クラス,12,1,0,1,1
ダート,1300,不良,1勝クラス,13,0,0,0,2
ダート,1300,不良,1勝クラス,14,0,1,0,1
ダート,1300,不良,1勝クラス,15,0,0,0,2
ダート,1300,不良,1勝クラス,16,0,0,0,2
ダート,1300,不良,2勝クラス,1,0,0,0,2
ダート,1300,不良,2勝クラス,2,0,0,0,2
ダート,1300,不良,2勝クラス,3,0,0,1,1
ダート,1300,不良,2勝クラス,4,0,0,0,2
ダート,1300,不良,2勝クラス,5,0,0,0,2
ダート,1300,不良,2勝クラス,6,0,1,0,1
ダート,1300,不良,2勝クラス,7,0,0,1,1
ダート,1300,不良,2勝クラス,8,1,0,0,1
ダート,1300,不良,2勝クラス,9,1,0,0,1
ダート,1300,不良,2勝クラス,10,0,0,0,2
ダート,1300,不良,2勝クラス,11,0,1,0,1
ダート,1300,不良,2勝クラス,12,0,0,0,2
ダート,1300,不良,2勝クラス,13,0,0,0,2
ダート,1300,不良,2勝クラス,14,0,0,0,2
ダート,1300,不良,2勝クラス,15,0,0,0,2
ダート,1300,不良,2勝クラス,16,0,0,0,2
ダート,1300,不良,all,1,0,0,2,12
ダート,1300,不良,all,2,1,2,0,11
ダート,1300,不良,all,3,0,0,1,13
ダート,1300,不良,all,4,1,0,2,11
ダート,1300,不良,all,5,3,0,0,11
ダート,1300,不良,all,6,1,1,0,12
ダート,1300,不良,all,7,1,0,3,10
ダート,1300,不良,all,8,1,1,2,10
ダート,1300,不良,all,9,2,0,0,11
ダート,1300,不良,all,10,0,4,0,10
ダート,1300,不良,all,11,1,1,1,11
ダート,1300,不良,all,12,2,0,1,10
ダート,1300,不良,all,13,0,1,1,10
ダート,1300,不良,all,14,1,3,0,8
ダート,1300,不良,all,15,0,0,0,11
ダート,1300,不良,all,16,0,1,1,8
ダート,1300,不良,未勝利,1,0,0,1,7
ダート,1300,不良,未勝利,2,1,1,0,6
ダート,1300,不良,未勝利,3,0,0,0,8
ダート,1300,不良,未勝利,4,1,0,1,6
ダート,1300,不良,未勝利,5,1,0,0,7
ダート,1300,不良,未勝利,6,0,0,0,8
ダート,1300,不良,未勝利,7,1,0,1,6
ダート,1300,不良,未勝利,8,0,0,2,6
ダート,1300,不良,未勝利,9,1,0,0,6
ダート,1300,不良,未勝利,10,0,3,0,5
ダート,1300,不良,未勝利,11,1,0,1,6
ダート,1300,不良,未勝利,12,1,0,0,7
ダート,1300,不良,未勝利,13,0,1,1,6
ダート,1300,不良,未勝利,14,1,2,0,5
ダート,1300,不良,未勝利,15,0,0,0,7
ダート,1300,不良,未勝利,16,0,1,1,4
ダート,1300,全,1勝クラス,1,0,0,4,30
ダート,1300,全,1勝クラス,2,2,8,3,22
ダート,1300,全,1勝クラス,3,5,1,2,27
ダート,1300,全,1勝クラス,4,2,2,4,27
ダート,1300,全,1勝クラス,5,3,0,1,30
ダート,1300,全,1勝クラス,6,4,3,2,26
ダート,1300,全,1勝クラス,7,3,1,3,28
ダート,1300,全,1勝クラス,8,2,3,3,26
ダート,1300,全,1勝クラス,9,0,1,2,32
