,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,ファインライン,牡4,58.0,丸山,松永幹,栗東,2021102419,01127,レイデオロ ,ラルケット ,ファルブラヴ Falbrav(愛) ,2.106829267037339,1
1,2,2,ラケダイモーン,牡4,58.0,菱田,須貝,栗東,2021105845,01144,グレーターロンドン ,パンドラズホープ ,キングカメハメハ ,1.2552747075104982,4
2,3,3,ツインクルステージ,牝4,53.0,▲舟山,高木,美浦,2021103512,01221,ゴールドシップ ,マイネアルデュール ,アドマイヤコジーン ,0.3823060066898246,5
3,4,4,ナムラブーニン,牡4,58.0,小沢,高橋一,栗東,2021102420,01185,シャンハイボビー Shanghai Bobby(米) ,ドナジュディス ,マンハッタンカフェ ,2.1054269733517894,2
4,4,5,マイネルモメンタム,牡4,57.0,☆横山琉,相沢,美浦,2021106811,01192,ヴィクトワールピサ ,アンナミルト ,マンハッタンカフェ ,-0.6792564289829061,7
5,5,6,イモータルソウル,牡7,54.0,★小林美,千葉,美浦,2018103802,01206,レイデオロ ,ファイネストシティ Finest City(米) ,City Zip (米) ,-1.6075387499470681,10
6,5,7,ベルノレイズ,牡4,55.0,▲橋木,小林,栗東,2021104194,01215,ゴールドシップ ,ウインジェルベーラ ,アイルハヴアナザー I'll Have Another(米) ,1.3512186847250103,3
7,6,8,グローリーアテイン,セ4,58.0,伊藤,金成,美浦,2021104950,01119,ゴールドアクター ,サニツ ,ロードカナロア ,-3.2984617990368483,12
8,6,9,ダノンウィルヘルム,牡4,58.0,荻野極,池江,栗東,2021105719,01160,ハーツクライ ,ゴールディーエスポニー Goldy Espony(仏) ,Vespone ,-3.539103296137504,13
9,7,10,ウインドラート,牡4,58.0,丹内,水野,美浦,2021106199,01091,,,,-1.8188437187806277,11
10,7,11,ウマピョイ,牝5,53.0,▲水沼,加藤和,美浦,2020105478,01201,,,,-1.166331663011686,8
11,8,12,ケイツークローン,セ5,58.0,菊沢,清水英,美浦,2020103160,01161,,,,0.13626448258930213,6
12,8,13,ルミエールドゥース,牝4,53.0,▲和田陽,緒方,栗東,2021104755,01223,,,,-1.3120125370375997,9
