,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,テルモピュライ,牡3,57.0,太宰,飯田,栗東,2022102565,01037,マジェスティックウォリアー Majestic Warrior(米) ,ゴールデンオーラ ,ステイゴールド ,-4.034192677336795,16
1,1,2,イダイ,牡3,56.0,☆高杉,庄野,栗東,2022106680,01213,アドマイヤマーズ ,ウルド ,ハービンジャー Harbinger(英) ,-0.5368246064242885,2
2,2,3,ビッグビート,牡3,57.0,松若,高橋康,栗東,2022101774,01154,ディープブリランテ ,シャルロットノアル ,フジキセキ ,-2.9392879553671256,12
3,2,4,フォードスピリット,牡3,55.0,△吉村,清水久,栗東,2022106157,01216,ヘニーヒューズ Henny Hughes(米) ,ペイシャキャサリン ,スマートファルコン ,-3.5339916389763792,15
4,3,5,テイエムドレミラン,牡3,57.0,富田,河嶋,栗東,2022100064,01168,ドレフォン Drefong(米) ,シシャモチャン ,サクラバクシンオー ,-3.458719066198998,14
5,3,6,メイショウライズ,牡3,57.0,和田竜,安達,栗東,2022101874,01018,カリフォルニアクローム California Chrome(米) ,メイショウナゴミ ,スズカマンボ ,-2.189434350553503,9
6,4,7,ニューオーリンズ,牡3,57.0,高倉,杉山晴,栗東,2022106920,01130,リアルスティール ,ハニードント ,クロフネ ,-1.6169944824333027,6
7,4,8,アースノイド,牡3,57.0,長岡,杉山佳,栗東,2022106262,01142,オーヴァルエース ,セイラ ,スパイキュール ,-1.8473966661467964,8
8,5,9,テーオーノーベル,牡3,57.0,菱田,岡田,栗東,2022100725,01144,ロードカナロア ,ジャストアスミッジ Just a Smidge(米) ,Into Mischief ,-3.004997721468156,13
9,5,10,シナモンショコラ,牡3,57.0,田口,秋山,栗東,2022104461,01208,パイロ Pyro(米) ,ビーチマリカ ,スマートファルコン ,-2.425831335709292,10
10,6,11,ガビーズブラザー,牡3,57.0,浜中,牧田,栗東,2022104448,01115,アポロケンタッキー ,アンジュデトワール ,スペシャルウィーク ,-0.8435580211446698,3
11,6,12,ポッドデューク,牡3,57.0,荻野極,辻野,栗東,2022105316,01160,イスラボニータ ,コッパ Coppa(米) ,Yesbyjimminy ,0.11799577734872617,1
12,7,13,サヨノミッキー,牡3,57.0,幸,羽月,栗東,2022107059,00732,ミッキーアイル ,トーセンジュエル ,ヴィクトワールピサ ,-1.0468034845368632,4
13,7,14,カフジアッサム,牡3,57.0,酒井,河嶋,栗東,2022105881,01034,マクフィ Makfi(英) ,ティイ ,エイシンフラッシュ ,-1.773889586561299,7
14,8,15,ラファル,牡3,57.0,武豊,田中克,栗東,2022103680,00666,ドレフォン Drefong(米) ,アグネスリース ,フレンチデピュティ French Deputy(米) ,-2.624410759185202,11
15,8,16,パープルパライソ,牡3,57.0,川又,吉村,栗東,2022102746,01166,ノーブルミッション Noble Mission(英) ,ペプチドサクラ ,キズナ ,-1.421033283247227,5
