race_type,course_len,ground_state,class,馬番,1着,2着,3着,着外
ダート,1200,不良,1勝クラス,1,0,0,1,9
ダート,1200,不良,1勝クラス,2,0,2,1,6
ダート,1200,不良,1勝クラス,3,0,0,1,9
ダート,1200,不良,1勝クラス,4,1,1,2,6
ダート,1200,不良,1勝クラス,5,0,0,0,10
ダート,1200,不良,1勝クラス,6,1,0,1,8
ダート,1200,不良,1勝クラス,7,2,1,1,6
ダート,1200,不良,1勝クラス,8,0,0,2,8
ダート,1200,不良,1勝クラス,9,1,1,0,8
ダート,1200,不良,1勝クラス,10,1,1,0,8
ダート,1200,不良,1勝クラス,11,1,2,1,6
ダート,1200,不良,1勝クラス,12,0,1,0,8
ダート,1200,不良,1勝クラス,13,1,0,0,7
ダート,1200,不良,1勝クラス,14,1,1,0,6
ダート,1200,不良,1勝クラス,15,1,0,0,4
ダート,1200,不良,2勝クラス,1,0,0,0,2
ダート,1200,不良,2勝クラス,2,1,0,0,1
ダート,1200,不良,2勝クラス,3,0,0,0,1
ダート,1200,不良,2勝クラス,4,1,0,1,0
ダート,1200,不良,2勝クラス,5,0,0,0,2
ダート,1200,不良,2勝クラス,6,0,0,0,2
ダート,1200,不良,2勝クラス,7,0,0,1,1
ダート,1200,不良,2勝クラス,8,0,1,0,1
ダート,1200,不良,2勝クラス,9,0,0,0,2
ダート,1200,不良,2勝クラス,10,0,0,0,2
ダート,1200,不良,2勝クラス,11,0,1,0,1
ダート,1200,不良,2勝クラス,12,0,0,0,2
ダート,1200,不良,2勝クラス,13,0,0,0,2
ダート,1200,不良,2勝クラス,14,0,0,0,2
ダート,1200,不良,2勝クラス,15,0,0,0,2
ダート,1200,不良,all,1,1,0,2,24
ダート,1200,不良,all,2,2,2,1,21
ダート,1200,不良,all,3,1,0,4,21
ダート,1200,不良,all,4,5,2,4,16
ダート,1200,不良,all,5,1,0,0,26
ダート,1200,不良,all,6,1,1,3,22
ダート,1200,不良,all,7,3,5,3,16
ダート,1200,不良,all,8,2,2,4,19
ダート,1200,不良,all,9,2,1,2,22
ダート,1200,不良,all,10,1,1,1,23
ダート,1200,不良,all,11,1,8,1,16
ダート,1200,不良,all,12,3,1,1,19
ダート,1200,不良,all,13,2,1,0,20
ダート,1200,不良,all,14,1,2,0,20
ダート,1200,不良,all,15,1,1,1,13
ダート,1200,不良,新馬,1,0,0,1,1
ダート,1200,不良,新馬,2,0,0,0,2
ダート,1200,不良,新馬,3,0,0,0,2
ダート,1200,不良,新馬,4,0,0,1,1
ダート,1200,不良,新馬,5,0,0,0,2
ダート,1200,不良,新馬,6,0,0,0,2
ダート,1200,不良,新馬,7,0,1,0,1
ダート,1200,不良,新馬,8,1,0,0,1
ダート,1200,不良,新馬,9,0,0,0,2
ダート,1200,不良,新馬,10,0,0,0,2
ダート,1200,不良,新馬,11,0,0,0,2
ダート,1200,不良,新馬,12,1,0,0,1
ダート,1200,不良,新馬,13,0,1,0,1
ダート,1200,不良,新馬,14,0,0,0,2
ダート,1200,不良,新馬,15,0,0,0,2
ダート,1200,不良,未勝利,1,1,0,0,11
ダート,1200,不良,未勝利,2,1,0,0,11
ダート,1200,不良,未勝利,3,1,0,3,8
ダート,1200,不良,未勝利,4,3,1,0,8
ダート,1200,不良,未勝利,5,1,0,0,11
ダート,1200,不良,未勝利,6,0,1,2,9
ダート,1200,不良,未勝利,7,1,3,0,8
ダート,1200,不良,未勝利,8,1,1,2,8
ダート,1200,不良,未勝利,9,0,0,2,10
ダート,1200,不良,未勝利,10,0,0,1,10
ダート,1200,不良,未勝利,11,0,4,0,7
ダート,1200,不良,未勝利,12,2,0,1,8
ダート,1200,不良,未勝利,13,1,0,0,10
ダート,1200,不良,未勝利,14,0,1,0,10
ダート,1200,不良,未勝利,15,0,1,1,5
ダート,1200,全,1勝クラス,1,6,10,11,144
ダート,1200,全,1勝クラス,2,10,13,15,133
ダート,1200,全,1勝クラス,3,13,11,9,138
ダート,1200,全,1勝クラス,4,8,15,18,130
ダート,1200,全,1勝クラス,5,9,7,11,145
ダート,1200,全,1勝クラス,6,14,6,18,134
ダート,1200,全,1勝クラス,7,13,18,13,127
ダート,1200,全,1勝クラス,8,14,10,8,139
ダート,1200,全,1勝クラス,9,11,13,10,136
ダート,1200,全,1勝クラス,10,19,17,11,122
ダート,1200,全,1勝クラス,11,15,8,15,128
ダート,1200,全,1勝クラス,12,12,18,15,109
ダート,1200,全,1勝クラス,13,8,4,11,119
ダート,1200,全,1勝クラス,14,13,9,4,98
ダート,1200,全,1勝クラス,15,7,13,5,77
ダート,1200,全,2勝クラス,1,5,4,0,27
ダート,1200,全,2勝クラス,2,2,1,1,32
ダート,1200,全,2勝クラス,3,1,2,3,27
ダート,1200,全,2勝クラス,4,6,0,1,29
ダート,1200,全,2勝クラス,5,1,1,5,28
ダート,1200,全,2勝クラス,6,2,2,2,30
ダート,1200,全,2勝クラス,7,2,5,4,25
ダート,1200,全,2勝クラス,8,3,2,2,29
ダート,1200,全,2勝クラス,9,1,1,3,31
ダート,1200,全,2勝クラス,10,1,5,5,25
ダート,1200,全,2勝クラス,11,3,3,1,29
ダート,1200,全,2勝クラス,12,4,3,5,24
ダート,1200,全,2勝クラス,13,3,3,0,30
ダート,1200,全,2勝クラス,14,1,1,2,32
