race_type,course_len,ground_state,class,馬番,1着,2着,3着,着外
ダート,1000,不良,1勝クラス,1,0,1,0,1
ダート,1000,不良,1勝クラス,2,1,0,0,1
ダート,1000,不良,1勝クラス,3,0,0,0,2
ダート,1000,不良,1勝クラス,4,0,0,0,2
ダート,1000,不良,1勝クラス,5,0,0,1,1
ダート,1000,不良,1勝クラス,6,0,0,0,2
ダート,1000,不良,1勝クラス,7,0,1,0,1
ダート,1000,不良,1勝クラス,8,0,0,0,2
ダート,1000,不良,1勝クラス,9,1,0,0,1
ダート,1000,不良,1勝クラス,10,0,0,0,2
ダート,1000,不良,1勝クラス,11,0,0,1,1
ダート,1000,不良,1勝クラス,12,0,0,0,2
ダート,1000,不良,all,1,0,2,1,2
ダート,1000,不良,all,2,1,0,0,4
ダート,1000,不良,all,3,0,0,1,4
ダート,1000,不良,all,4,0,1,0,4
ダート,1000,不良,all,5,0,1,1,3
ダート,1000,不良,all,6,0,0,0,5
ダート,1000,不良,all,7,1,1,0,3
ダート,1000,不良,all,8,0,0,1,4
ダート,1000,不良,all,9,1,0,0,3
ダート,1000,不良,all,10,0,0,0,4
ダート,1000,不良,all,11,0,0,1,3
ダート,1000,不良,all,12,2,0,0,2
ダート,1000,不良,新馬,1,0,1,0,0
ダート,1000,不良,新馬,2,0,0,0,1
ダート,1000,不良,新馬,3,0,0,1,0
ダート,1000,不良,新馬,4,0,0,0,1
ダート,1000,不良,新馬,5,0,0,0,1
ダート,1000,不良,新馬,6,0,0,0,1
ダート,1000,不良,新馬,7,1,0,0,0
ダート,1000,不良,新馬,8,0,0,0,1
ダート,1000,不良,未勝利,1,0,0,1,1
ダート,1000,不良,未勝利,2,0,0,0,2
ダート,1000,不良,未勝利,3,0,0,0,2
ダート,1000,不良,未勝利,4,0,1,0,1
ダート,1000,不良,未勝利,5,0,1,0,1
ダート,1000,不良,未勝利,6,0,0,0,2
ダート,1000,不良,未勝利,7,0,0,0,2
ダート,1000,不良,未勝利,8,0,0,1,1
ダート,1000,不良,未勝利,9,0,0,0,2
ダート,1000,不良,未勝利,10,0,0,0,2
ダート,1000,不良,未勝利,11,0,0,0,2
ダート,1000,不良,未勝利,12,2,0,0,0
ダート,1000,全,1勝クラス,1,6,7,2,34
ダート,1000,全,1勝クラス,2,5,5,4,36
ダート,1000,全,1勝クラス,3,4,4,2,40
ダート,1000,全,1勝クラス,4,1,3,3,43
ダート,1000,全,1勝クラス,5,3,2,5,39
ダート,1000,全,1勝クラス,6,2,3,4,42
ダート,1000,全,1勝クラス,7,5,2,7,37
ダート,1000,全,1勝クラス,8,5,7,8,31
ダート,1000,全,1勝クラス,9,7,5,6,32
ダート,1000,全,1勝クラス,10,5,5,4,35
ダート,1000,全,1勝クラス,11,4,4,2,36
ダート,1000,全,1勝クラス,12,4,4,4,26
ダート,1000,全,2勝クラス,1,1,1,0,6
ダート,1000,全,2勝クラス,2,1,0,2,5
ダート,1000,全,2勝クラス,3,0,2,0,6
