race_type,course_len,ground_state,class,枠番,1着,2着,3着,着外
ダート,1200,不良,1勝クラス,1,1,1,0,18
ダート,1200,不良,1勝クラス,2,1,1,0,19
ダート,1200,不良,1勝クラス,3,2,0,0,20
ダート,1200,不良,1勝クラス,4,2,3,1,17
ダート,1200,不良,1勝クラス,5,0,0,2,22
ダート,1200,不良,1勝クラス,6,5,2,4,13
ダート,1200,不良,1勝クラス,7,0,3,2,19
ダート,1200,不良,1勝クラス,8,1,2,3,17
ダート,1200,不良,2勝クラス,1,1,1,1,9
ダート,1200,不良,2勝クラス,2,0,0,2,11
ダート,1200,不良,2勝クラス,3,0,2,2,9
ダート,1200,不良,2勝クラス,4,0,2,0,10
ダート,1200,不良,2勝クラス,5,0,0,0,14
ダート,1200,不良,2勝クラス,6,1,2,0,11
ダート,1200,不良,2勝クラス,7,3,0,0,11
ダート,1200,不良,2勝クラス,8,2,0,2,8
ダート,1200,不良,3勝クラス,1,0,0,0,4
ダート,1200,不良,3勝クラス,2,1,0,0,3
ダート,1200,不良,3勝クラス,3,1,0,0,3
ダート,1200,不良,3勝クラス,4,0,0,0,4
ダート,1200,不良,3勝クラス,5,0,0,1,3
ダート,1200,不良,3勝クラス,6,0,1,1,2
ダート,1200,不良,3勝クラス,7,0,0,0,4
ダート,1200,不良,3勝クラス,8,0,1,0,3
ダート,1200,不良,all,1,3,7,4,65
ダート,1200,不良,all,2,5,3,2,76
ダート,1200,不良,all,3,5,4,5,74
ダート,1200,不良,all,4,3,10,4,71
ダート,1200,不良,all,5,5,2,7,77
ダート,1200,不良,all,6,12,8,9,63
ダート,1200,不良,all,7,6,7,6,73
ダート,1200,不良,all,8,7,5,9,68
ダート,1200,不良,オープン,1,0,0,1,1
ダート,1200,不良,オープン,2,0,0,0,2
ダート,1200,不良,オープン,3,0,0,0,2
ダート,1200,不良,オープン,4,0,0,0,2
ダート,1200,不良,オープン,5,0,0,0,2
ダート,1200,不良,オープン,6,0,0,0,2
ダート,1200,不良,オープン,7,0,1,0,1
ダート,1200,不良,オープン,8,1,0,0,1
ダート,1200,不良,未勝利,1,1,5,2,33
ダート,1200,不良,未勝利,2,3,2,0,41
ダート,1200,不良,未勝利,3,2,2,3,40
ダート,1200,不良,未勝利,4,1,5,3,38
ダート,1200,不良,未勝利,5,5,2,4,36
ダート,1200,不良,未勝利,6,6,3,4,35
ダート,1200,不良,未勝利,7,3,3,4,38
ダート,1200,不良,未勝利,8,3,2,4,39
ダート,1200,全,1勝クラス,1,28,23,32,340
ダート,1200,全,1勝クラス,2,24,39,19,362
ダート,1200,全,1勝クラス,3,20,30,29,375
ダート,1200,全,1勝クラス,4,27,35,32,371
ダート,1200,全,1勝クラス,5,36,30,32,371
ダート,1200,全,1勝クラス,6,45,27,37,367
ダート,1200,全,1勝クラス,7,29,26,34,386
ダート,1200,全,1勝クラス,8,31,31,24,387
ダート,1200,全,2勝クラス,1,10,11,13,186
ダート,1200,全,2勝クラス,2,11,9,14,194
ダート,1200,全,2勝クラス,3,14,20,12,187
ダート,1200,全,2勝クラス,4,12,11,12,201
ダート,1200,全,2勝クラス,5,12,21,14,193
ダート,1200,全,2勝クラス,6,27,17,12,182
ダート,1200,全,2勝クラス,7,16,13,22,187
ダート,1200,全,2勝クラス,8,18,19,20,181
ダート,1200,全,3勝クラス,1,4,6,11,76
ダート,1200,全,3勝クラス,2,5,5,4,88
ダート,1200,全,3勝クラス,3,4,4,5,89
ダート,1200,全,3勝クラス,4,9,5,6,83
ダート,1200,全,3勝クラス,5,9,6,7,81
ダート,1200,全,3勝クラス,6,5,7,9,83
ダート,1200,全,3勝クラス,7,8,6,5,86
ダート,1200,全,3勝クラス,8,9,14,6,77
ダート,1200,全,all,1,98,85,115,1440
ダート,1200,全,all,2,94,114,103,1508
ダート,1200,全,all,3,100,129,118,1498
ダート,1200,全,all,4,108,114,116,1531
ダート,1200,全,all,5,134,118,112,1514
ダート,1200,全,all,6,149,125,126,1496
ダート,1200,全,all,7,131,127,149,1482
ダート,1200,全,all,8,140,145,115,1494
ダート,1200,全,オープン,1,1,4,4,57
ダート,1200,全,オープン,2,8,2,7,52
ダート,1200,全,オープン,3,5,3,2,61
ダート,1200,全,オープン,4,4,5,6,58
ダート,1200,全,オープン,5,4,5,4,61
ダート,1200,全,オープン,6,2,8,4,62
ダート,1200,全,オープン,7,7,6,7,56
ダート,1200,全,オープン,8,7,5,6,57
ダート,1200,全,新馬,1,8,4,8,123
ダート,1200,全,新馬,2,5,9,10,125
ダート,1200,全,新馬,3,8,12,11,118
ダート,1200,全,新馬,4,7,9,7,127
ダート,1200,全,新馬,5,9,6,12,123
ダート,1200,全,新馬,6,12,13,11,117
ダート,1200,全,新馬,7,13,15,10,111
ダート,1200,全,新馬,8,15,9,9,121
ダート,1200,全,未勝利,1,45,33,43,608
ダート,1200,全,未勝利,2,37,43,46,638
ダート,1200,全,未勝利,3,43,55,56,619
ダート,1200,全,未勝利,4,46,47,51,634
ダート,1200,全,未勝利,5,59,45,38,637
ダート,1200,全,未勝利,6,56,50,48,631
ダート,1200,全,未勝利,7,53,60,66,603
ダート,1200,全,未勝利,8,55,62,45,623
ダート,1200,稍重,1勝クラス,1,4,6,8,79
ダート,1200,稍重,1勝クラス,2,6,8,5,80
ダート,1200,稍重,1勝クラス,3,5,5,3,88
ダート,1200,稍重,1勝クラス,4,6,9,10,77
ダート,1200,稍重,1勝クラス,5,9,6,8,80
ダート,1200,稍重,1勝クラス,6,7,7,5,85
ダート,1200,稍重,1勝クラス,7,4,8,10,82
ダート,1200,稍重,1勝クラス,8,11,3,3,87
ダート,1200,稍重,2勝クラス,1,3,1,5,34
ダート,1200,稍重,2勝クラス,2,1,3,3,38
ダート,1200,稍重,2勝クラス,3,3,4,0,39
ダート,1200,稍重,2勝クラス,4,1,0,0,44
ダート,1200,稍重,2勝クラス,5,1,4,3,38
ダート,1200,稍重,2勝クラス,6,6,4,3,32
ダート,1200,稍重,2勝クラス,7,4,3,6,33
ダート,1200,稍重,2勝クラス,8,4,4,3,35
ダート,1200,稍重,3勝クラス,1,0,1,4,14
ダート,1200,稍重,3勝クラス,2,1,1,0,17
ダート,1200,稍重,3勝クラス,3,0,1,1,17
ダート,1200,稍重,3勝クラス,4,3,0,0,17
ダート,1200,稍重,3勝クラス,5,1,3,2,13
ダート,1200,稍重,3勝クラス,6,1,0,0,19
ダート,1200,稍重,3勝クラス,7,3,2,2,13
ダート,1200,稍重,3勝クラス,8,1,2,1,16
ダート,1200,稍重,all,1,21,19,32,319
ダート,1200,稍重,all,2,24,31,23,326
ダート,1200,稍重,all,3,18,28,21,340
ダート,1200,稍重,all,4,21,21,22,346
ダート,1200,稍重,all,5,31,26,23,333
ダート,1200,稍重,all,6,27,25,27,338
ダート,1200,稍重,all,7,30,32,39,314
ダート,1200,稍重,all,8,37,27,23,329
ダート,1200,稍重,オープン,1,0,1,1,8
ダート,1200,稍重,オープン,2,2,1,1,6
ダート,1200,稍重,オープン,3,0,1,0,9
ダート,1200,稍重,オープン,4,1,0,0,9
ダート,1200,稍重,オープン,5,0,0,0,10
ダート,1200,稍重,オープン,6,0,0,1,9
ダート,1200,稍重,オープン,7,1,1,2,6
ダート,1200,稍重,オープン,8,1,1,0,8
ダート,1200,稍重,新馬,1,2,0,3,33
ダート,1200,稍重,新馬,2,1,5,3,30
ダート,1200,稍重,新馬,3,3,3,2,31
ダート,1200,稍重,新馬,4,2,1,3,35
ダート,1200,稍重,新馬,5,3,1,1,34
ダート,1200,稍重,新馬,6,1,4,2,35
ダート,1200,稍重,新馬,7,5,6,3,26
ダート,1200,稍重,新馬,8,4,1,5,32
ダート,1200,稍重,未勝利,1,12,9,11,147
ダート,1200,稍重,未勝利,2,12,13,10,151
ダート,1200,稍重,未勝利,3,6,12,15,154
ダート,1200,稍重,未勝利,4,8,11,9,158
ダート,1200,稍重,未勝利,5,17,12,9,152
ダート,1200,稍重,未勝利,6,12,10,14,154
ダート,1200,稍重,未勝利,7,12,12,16,149
