race_type,course_len,ground_state,class,馬番,1着,2着,3着,着外
ダート,1200,不良,1勝クラス,1,1,1,0,9
ダート,1200,不良,1勝クラス,2,0,0,0,12
ダート,1200,不良,1勝クラス,3,0,1,0,11
ダート,1200,不良,1勝クラス,4,2,0,0,10
ダート,1200,不良,1勝クラス,5,1,2,0,9
ダート,1200,不良,1勝クラス,6,1,0,0,11
ダート,1200,不良,1勝クラス,7,1,0,1,10
ダート,1200,不良,1勝クラス,8,1,1,1,9
ダート,1200,不良,1勝クラス,9,0,1,1,10
ダート,1200,不良,1勝クラス,10,1,0,2,9
ダート,1200,不良,1勝クラス,11,2,2,1,7
ダート,1200,不良,1勝クラス,12,1,0,2,9
ダート,1200,不良,1勝クラス,13,0,2,0,9
ダート,1200,不良,1勝クラス,14,0,0,2,8
ダート,1200,不良,1勝クラス,15,1,2,0,6
ダート,1200,不良,1勝クラス,16,0,0,2,6
ダート,1200,不良,2勝クラス,1,1,0,1,5
ダート,1200,不良,2勝クラス,2,0,1,0,6
ダート,1200,不良,2勝クラス,3,0,1,1,5
ダート,1200,不良,2勝クラス,4,0,0,2,5
ダート,1200,不良,2勝クラス,5,0,1,1,5
ダート,1200,不良,2勝クラス,6,0,0,0,7
ダート,1200,不良,2勝クラス,7,0,2,0,5
ダート,1200,不良,2勝クラス,8,0,0,0,6
ダート,1200,不良,2勝クラス,9,0,0,0,7
ダート,1200,不良,2勝クラス,10,0,0,0,7
ダート,1200,不良,2勝クラス,11,1,2,0,4
ダート,1200,不良,2勝クラス,12,1,0,0,6
ダート,1200,不良,2勝クラス,13,2,0,0,4
ダート,1200,不良,2勝クラス,14,1,0,0,5
ダート,1200,不良,2勝クラス,15,1,0,0,3
ダート,1200,不良,2勝クラス,16,0,0,2,3
ダート,1200,不良,3勝クラス,1,0,0,0,2
ダート,1200,不良,3勝クラス,2,0,0,0,2
ダート,1200,不良,3勝クラス,3,0,0,0,2
ダート,1200,不良,3勝クラス,4,1,0,0,1
ダート,1200,不良,3勝クラス,5,1,0,0,1
ダート,1200,不良,3勝クラス,6,0,0,0,2
ダート,1200,不良,3勝クラス,7,0,0,0,2
ダート,1200,不良,3勝クラス,8,0,0,0,2
ダート,1200,不良,3勝クラス,9,0,0,0,2
ダート,1200,不良,3勝クラス,10,0,0,1,1
ダート,1200,不良,3勝クラス,11,0,0,0,2
ダート,1200,不良,3勝クラス,12,0,1,1,0
ダート,1200,不良,3勝クラス,13,0,0,0,2
ダート,1200,不良,3勝クラス,14,0,0,0,2
ダート,1200,不良,3勝クラス,15,0,0,0,2
ダート,1200,不良,3勝クラス,16,0,1,0,1
ダート,1200,不良,all,1,3,3,2,36
ダート,1200,不良,all,2,0,4,2,39
ダート,1200,不良,all,3,1,3,2,40
ダート,1200,不良,all,4,5,2,3,36
