race_type,course_len,ground_state,class,人気,1着,2着,3着,着外
ダート,1000,不良,1勝クラス,1,5,2,0,3
ダート,1000,不良,1勝クラス,2,1,3,2,4
ダート,1000,不良,1勝クラス,3,0,0,1,9
ダート,1000,不良,1勝クラス,4,1,2,1,6
ダート,1000,不良,1勝クラス,5,0,1,1,8
ダート,1000,不良,1勝クラス,6,0,0,1,9
ダート,1000,不良,1勝クラス,7,2,0,1,7
ダート,1000,不良,1勝クラス,8,0,0,2,8
ダート,1000,不良,1勝クラス,9,0,0,0,10
ダート,1000,不良,1勝クラス,10,0,2,0,8
ダート,1000,不良,1勝クラス,11,1,0,0,9
ダート,1000,不良,1勝クラス,12,0,0,0,10
ダート,1000,不良,1勝クラス,13,0,0,0,9
ダート,1000,不良,1勝クラス,14,0,0,1,8
ダート,1000,不良,2勝クラス,1,0,1,0,1
ダート,1000,不良,2勝クラス,2,1,1,0,0
ダート,1000,不良,2勝クラス,3,0,0,0,2
ダート,1000,不良,2勝クラス,4,0,0,0,2
ダート,1000,不良,2勝クラス,5,0,0,1,1
ダート,1000,不良,2勝クラス,6,1,0,0,1
ダート,1000,不良,2勝クラス,7,0,0,0,2
ダート,1000,不良,2勝クラス,8,0,0,1,1
ダート,1000,不良,2勝クラス,9,0,0,0,1
ダート,1000,不良,2勝クラス,10,0,0,0,1
ダート,1000,不良,2勝クラス,11,0,0,0,1
ダート,1000,不良,2勝クラス,12,0,0,0,1
ダート,1000,不良,2勝クラス,13,0,0,0,1
ダート,1000,不良,2勝クラス,14,0,0,0,1
ダート,1000,不良,all,1,7,4,2,8
ダート,1000,不良,all,2,4,6,2,9
ダート,1000,不良,all,3,1,2,3,15
ダート,1000,不良,all,4,1,3,1,16
ダート,1000,不良,all,5,2,1,2,16
ダート,1000,不良,all,6,1,0,2,18
ダート,1000,不良,all,7,3,1,3,14
ダート,1000,不良,all,8,0,1,3,17
ダート,1000,不良,all,9,0,0,0,20
ダート,1000,不良,all,10,0,2,0,17
ダート,1000,不良,all,11,1,0,1,18
ダート,1000,不良,all,12,1,1,1,17
ダート,1000,不良,all,13,0,0,0,19
ダート,1000,不良,all,14,0,0,1,17
ダート,1000,不良,未勝利,1,1,1,2,4
ダート,1000,不良,未勝利,2,2,2,0,4
ダート,1000,不良,未勝利,3,1,2,1,4
ダート,1000,不良,未勝利,4,0,1,0,7
ダート,1000,不良,未勝利,5,2,0,0,6
ダート,1000,不良,未勝利,6,0,0,1,7
ダート,1000,不良,未勝利,7,1,0,2,5
ダート,1000,不良,未勝利,8,0,1,0,7
ダート,1000,不良,未勝利,9,0,0,0,8
ダート,1000,不良,未勝利,10,0,0,0,7
ダート,1000,不良,未勝利,11,0,0,1,7
ダート,1000,不良,未勝利,12,1,1,1,5
ダート,1000,不良,未勝利,13,0,0,0,8
ダート,1000,不良,未勝利,14,0,0,0,7
ダート,1000,全,1勝クラス,1,24,19,3,33
ダート,1000,全,1勝クラス,2,15,17,8,39
ダート,1000,全,1勝クラス,3,12,7,8,52
ダート,1000,全,1勝クラス,4,8,10,12,49
ダート,1000,全,1勝クラス,5,5,6,11,57
ダート,1000,全,1勝クラス,6,3,2,10,64
ダート,1000,全,1勝クラス,7,4,7,8,60
ダート,1000,全,1勝クラス,8,1,3,6,68
ダート,1000,全,1勝クラス,9,2,1,4,71
ダート,1000,全,1勝クラス,10,1,4,3,70
ダート,1000,全,1勝クラス,11,2,2,0,73
ダート,1000,全,1勝クラス,12,0,1,4,71
ダート,1000,全,1勝クラス,13,1,0,1,67
ダート,1000,全,1勝クラス,14,1,0,2,57
ダート,1000,全,2勝クラス,1,4,6,2,11
ダート,1000,全,2勝クラス,2,6,2,1,14
ダート,1000,全,2勝クラス,3,1,1,3,18
ダート,1000,全,2勝クラス,4,0,4,3,16
ダート,1000,全,2勝クラス,5,4,1,3,15
ダート,1000,全,2勝クラス,6,6,2,1,14
ダート,1000,全,2勝クラス,7,0,0,5,18
ダート,1000,全,2勝クラス,8,2,3,2,16
ダート,1000,全,2勝クラス,9,0,0,3,18
ダート,1000,全,2勝クラス,10,0,2,0,19
ダート,1000,全,2勝クラス,11,0,0,0,21
ダート,1000,全,2勝クラス,12,0,1,0,20
ダート,1000,全,2勝クラス,13,0,1,0,20
ダート,1000,全,2勝クラス,14,0,0,0,20
ダート,1000,全,3勝クラス,1,2,1,1,5
ダート,1000,全,3勝クラス,2,1,3,2,3
ダート,1000,全,3勝クラス,3,2,0,1,6
ダート,1000,全,3勝クラス,4,2,1,0,6
ダート,1000,全,3勝クラス,5,0,0,0,9
ダート,1000,全,3勝クラス,6,1,1,0,7
ダート,1000,全,3勝クラス,7,0,1,1,7
ダート,1000,全,3勝クラス,8,0,0,1,8
ダート,1000,全,3勝クラス,9,0,0,1,8
ダート,1000,全,3勝クラス,10,0,1,1,7
ダート,1000,全,3勝クラス,11,0,1,1,6
ダート,1000,全,3勝クラス,12,0,0,0,6
ダート,1000,全,3勝クラス,13,1,0,0,2
ダート,1000,全,3勝クラス,14,0,0,0,2
ダート,1000,全,all,1,60,52,22,86
ダート,1000,全,all,2,49,44,26,103
ダート,1000,全,all,3,29,28,24,141
ダート,1000,全,all,4,22,29,36,135
ダート,1000,全,all,5,14,13,29,166
ダート,1000,全,all,6,19,11,20,171
ダート,1000,全,all,7,9,14,19,179
ダート,1000,全,all,8,5,9,11,194
ダート,1000,全,all,9,6,5,14,190
ダート,1000,全,all,10,1,7,8,195
ダート,1000,全,all,11,3,4,5,198
ダート,1000,全,all,12,1,3,6,193
ダート,1000,全,all,13,3,2,3,177
ダート,1000,全,all,14,1,1,2,158
ダート,1000,全,新馬,1,0,2,0,2
ダート,1000,全,新馬,2,0,1,2,1
ダート,1000,全,新馬,3,3,0,0,1
ダート,1000,全,新馬,4,0,1,1,2
ダート,1000,全,新馬,5,0,0,1,3
ダート,1000,全,新馬,6,1,0,0,2
ダート,1000,全,新馬,7,0,0,0,3
ダート,1000,全,新馬,8,0,0,0,3
ダート,1000,全,新馬,9,0,0,0,2
ダート,1000,全,新馬,10,0,0,0,1
ダート,1000,全,新馬,11,0,0,0,1
ダート,1000,全,未勝利,1,29,21,16,32
ダート,1000,全,未勝利,2,24,21,13,42
ダート,1000,全,未勝利,3,9,20,10,61
ダート,1000,全,未勝利,4,12,13,19,56
ダート,1000,全,未勝利,5,4,5,13,78
ダート,1000,全,未勝利,6,8,4,8,80
ダート,1000,全,未勝利,7,5,5,5,85
ダート,1000,全,未勝利,8,2,3,2,92
ダート,1000,全,未勝利,9,4,4,6,84
ダート,1000,全,未勝利,10,0,0,2,93
ダート,1000,全,未勝利,11,1,1,4,90
ダート,1000,全,未勝利,12,1,1,2,89
ダート,1000,全,未勝利,13,1,1,2,81
ダート,1000,全,未勝利,14,0,1,0,72
