race_type,course_len,ground_state,class,馬番,1着,2着,3着,着外
ダート,1000,不良,1勝クラス,1,0,0,1,9
ダート,1000,不良,1勝クラス,2,1,0,2,7
ダート,1000,不良,1勝クラス,3,1,2,0,7
ダート,1000,不良,1勝クラス,4,0,0,2,8
ダート,1000,不良,1勝クラス,5,2,0,1,7
ダート,1000,不良,1勝クラス,6,1,0,0,9
ダート,1000,不良,1勝クラス,7,0,0,2,8
ダート,1000,不良,1勝クラス,8,0,1,1,8
ダート,1000,不良,1勝クラス,9,1,1,0,8
ダート,1000,不良,1勝クラス,10,2,2,0,6
ダート,1000,不良,1勝クラス,11,0,1,0,9
ダート,1000,不良,1勝クラス,12,1,0,1,8
ダート,1000,不良,1勝クラス,13,1,0,0,8
ダート,1000,不良,1勝クラス,14,0,3,0,6
ダート,1000,不良,2勝クラス,1,0,0,1,1
ダート,1000,不良,2勝クラス,2,0,1,0,1
ダート,1000,不良,2勝クラス,3,0,0,1,1
ダート,1000,不良,2勝クラス,4,0,0,0,2
ダート,1000,不良,2勝クラス,5,1,0,0,1
ダート,1000,不良,2勝クラス,6,0,0,0,1
ダート,1000,不良,2勝クラス,7,0,0,0,2
ダート,1000,不良,2勝クラス,8,0,0,0,2
ダート,1000,不良,2勝クラス,9,0,1,0,1
ダート,1000,不良,2勝クラス,10,0,0,0,1
ダート,1000,不良,2勝クラス,11,0,0,0,1
ダート,1000,不良,2勝クラス,12,1,0,0,0
ダート,1000,不良,2勝クラス,13,0,0,0,1
ダート,1000,不良,2勝クラス,14,0,0,0,1
ダート,1000,不良,all,1,3,0,3,15
ダート,1000,不良,all,2,2,2,2,15
ダート,1000,不良,all,3,1,3,1,16
ダート,1000,不良,all,4,0,0,3,18
ダート,1000,不良,all,5,3,1,2,15
ダート,1000,不良,all,6,1,2,0,17
ダート,1000,不良,all,7,0,1,2,18
ダート,1000,不良,all,8,1,1,4,15
ダート,1000,不良,all,9,2,3,1,15
ダート,1000,不良,all,10,4,2,0,14
ダート,1000,不良,all,11,0,2,0,18
ダート,1000,不良,all,12,2,1,1,15
ダート,1000,不良,all,13,1,0,1,17
ダート,1000,不良,all,14,1,3,1,13
ダート,1000,不良,未勝利,1,3,0,1,4
ダート,1000,不良,未勝利,2,1,1,0,6
ダート,1000,不良,未勝利,3,0,1,0,7
ダート,1000,不良,未勝利,4,0,0,1,7
ダート,1000,不良,未勝利,5,0,1,1,6
ダート,1000,不良,未勝利,6,0,1,0,7
ダート,1000,不良,未勝利,7,0,1,0,7
ダート,1000,不良,未勝利,8,1,0,3,4
ダート,1000,不良,未勝利,9,1,1,0,6
ダート,1000,不良,未勝利,10,2,0,0,6
ダート,1000,不良,未勝利,11,0,1,0,7
ダート,1000,不良,未勝利,12,0,1,0,6
ダート,1000,不良,未勝利,13,0,0,1,7
ダート,1000,不良,未勝利,14,0,0,1,6
ダート,1000,全,1勝クラス,1,2,6,8,61
ダート,1000,全,1勝クラス,2,8,5,8,58
ダート,1000,全,1勝クラス,3,10,7,7,55
ダート,1000,全,1勝クラス,4,5,8,7,59
ダート,1000,全,1勝クラス,5,6,5,4,63
ダート,1000,全,1勝クラス,6,8,7,6,58
ダート,1000,全,1勝クラス,7,6,4,3,66
ダート,1000,全,1勝クラス,8,6,3,3,67
