,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,ミラクルキャッツ,牝5,56.0,岩田望,堀,美浦,2020103676,01174,キンシャサノキセキ  ,ランニングボブキャッツ  ,Running Stag  ,-2.370860093834541,8
1,2,2,グランコネクシオン,牝4,56.0,原,畠山,美浦,2021105123,01184,ハーツクライ  ,チャリティーライン  Charity Line(愛)  ,Manduro  (独)  ,-2.6012157714192674,10
2,3,3,ラブリーウィザード,牝3,53.0,田口,小笠,美浦,2022106654,01208,トランセンド  ,ピンウィール  ,キングカメハメハ  ,-1.275183598838649,5
3,4,4,レイバックスピン,牝3,53.0,吉田豊,牧浦,栗東,2022104432,00733,リアルスティール  ,センショウレイナ  ,ハービンジャー  Harbinger(英)  ,-1.9387440802002198,7
4,5,5,スノークルーズ,牝3,53.0,武藤,武藤,美浦,2022104699,01169,リアルインパクト  ,エレガントクルーズ  ,クロフネ  ,-0.4325056983042266,2
5,6,6,ロフティストーリー,牝3,53.0,木幡巧,久保田,美浦,2022105738,01162,マインドユアビスケッツ  Mind Your Biscuits(米)  ,ロフティーエイム  ,サンデーサイレンス  Sunday Silence(米)  ,-1.195762821042192,4
6,7,7,ノーブルアクト,牝5,53.0,▲水沼,上原博,美浦,2020104744,01201,マクフィ  Makfi(英)  ,クイーンロイド  ,ゼンノロブロイ  ,-1.6558191740564039,6
7,7,8,ラーナローザ,牝3,53.0,荻野極,畠山,美浦,2022102785,01160,ドレフォン  Drefong(米)  ,ラーナアズーラ  ,パイロ  Pyro(米)  ,-2.433936224062138,9
8,8,9,ビーコ,牝3,53.0,木幡初,竹内,美浦,2022106172,01153,ベストウォーリア  ,ジュリアヴィーナス  ,ジャスタウェイ  ,-0.7864769933021287,3
9,8,10,ミツカネヴィーナス,牝6,56.0,菊沢,鈴木伸,美浦,2019100844,01161,ヘニーヒューズ  Henny Hughes(米)  ,ナスカザン  ,ダイワメジャー  ,-0.33343496315729776,1
