race_type,course_len,ground_state,class,枠番,1着,2着,3着,着外
ダート,1200,不良,1勝クラス,1,0,1,0,11
ダート,1200,不良,1勝クラス,2,0,1,0,13
ダート,1200,不良,1勝クラス,3,3,1,0,12
ダート,1200,不良,1勝クラス,4,1,2,3,10
ダート,1200,不良,1勝クラス,5,0,1,3,14
ダート,1200,不良,1勝クラス,6,0,1,1,16
ダート,1200,不良,1勝クラス,7,4,3,1,12
ダート,1200,不良,1勝クラス,8,2,0,2,16
ダート,1200,不良,2勝クラス,1,0,0,1,3
ダート,1200,不良,2勝クラス,2,0,0,0,4
ダート,1200,不良,2勝クラス,3,0,0,0,4
ダート,1200,不良,2勝クラス,4,0,0,0,4
ダート,1200,不良,2勝クラス,5,0,1,1,2
ダート,1200,不良,2勝クラス,6,2,1,0,1
ダート,1200,不良,2勝クラス,7,0,0,0,3
ダート,1200,不良,2勝クラス,8,0,0,0,4
ダート,1200,不良,3勝クラス,1,1,0,1,4
ダート,1200,不良,3勝クラス,2,0,0,0,6
ダート,1200,不良,3勝クラス,3,2,0,1,3
ダート,1200,不良,3勝クラス,4,0,1,1,4
ダート,1200,不良,3勝クラス,5,0,0,0,6
ダート,1200,不良,3勝クラス,6,0,1,0,5
ダート,1200,不良,3勝クラス,7,0,1,0,5
ダート,1200,不良,3勝クラス,8,0,0,0,6
ダート,1200,不良,all,1,3,3,7,42
ダート,1200,不良,all,2,1,2,2,53
ダート,1200,不良,all,3,9,4,2,45
ダート,1200,不良,all,4,3,5,7,46
ダート,1200,不良,all,5,1,3,7,52
ダート,1200,不良,all,6,3,7,2,51
ダート,1200,不良,all,7,7,6,2,49
ダート,1200,不良,all,8,6,3,4,53
ダート,1200,不良,新馬,1,1,0,1,2
ダート,1200,不良,新馬,2,0,0,0,4
ダート,1200,不良,新馬,3,1,0,0,3
ダート,1200,不良,新馬,4,0,0,0,5
ダート,1200,不良,新馬,5,1,0,1,3
ダート,1200,不良,新馬,6,0,1,0,4
ダート,1200,不良,新馬,7,0,1,1,3
ダート,1200,不良,新馬,8,0,1,0,5
ダート,1200,不良,未勝利,1,1,2,4,22
ダート,1200,不良,未勝利,2,1,1,2,26
ダート,1200,不良,未勝利,3,3,3,1,23
ダート,1200,不良,未勝利,4,2,2,3,23
ダート,1200,不良,未勝利,5,0,1,2,27
ダート,1200,不良,未勝利,6,1,3,1,25
ダート,1200,不良,未勝利,7,3,1,0,26
ダート,1200,不良,未勝利,8,4,2,2,22
ダート,1200,全,1勝クラス,1,11,8,7,138
ダート,1200,全,1勝クラス,2,7,12,12,158
ダート,1200,全,1勝クラス,3,10,14,20,152
ダート,1200,全,1勝クラス,4,10,16,16,166
ダート,1200,全,1勝クラス,5,20,15,20,166
ダート,1200,全,1勝クラス,6,18,25,14,171
ダート,1200,全,1勝クラス,7,19,18,16,182
ダート,1200,全,1勝クラス,8,25,12,15,182
ダート,1200,全,2勝クラス,1,2,2,7,110
ダート,1200,全,2勝クラス,2,7,5,4,107
ダート,1200,全,2勝クラス,3,7,5,8,108
ダート,1200,全,2勝クラス,4,9,8,10,106
ダート,1200,全,2勝クラス,5,8,11,12,100
ダート,1200,全,2勝クラス,6,12,10,4,109
ダート,1200,全,2勝クラス,7,6,14,10,104
ダート,1200,全,2勝クラス,8,17,13,13,93
ダート,1200,全,3勝クラス,1,3,0,4,50
ダート,1200,全,3勝クラス,2,4,5,1,50
ダート,1200,全,3勝クラス,3,6,1,4,49
ダート,1200,全,3勝クラス,4,6,8,4,44
ダート,1200,全,3勝クラス,5,2,4,8,50
ダート,1200,全,3勝クラス,6,7,5,2,51
ダート,1200,全,3勝クラス,7,2,5,2,56
ダート,1200,全,3勝クラス,8,3,5,8,50
ダート,1200,全,all,1,38,32,47,613
ダート,1200,全,all,2,45,52,44,642
ダート,1200,全,all,3,48,50,57,650
ダート,1200,全,all,4,52,64,59,659
ダート,1200,全,all,5,59,65,71,665
ダート,1200,全,all,6,66,74,44,701
ダート,1200,全,all,7,64,67,63,705
ダート,1200,全,all,8,87,56,72,686
ダート,1200,全,オープン,1,4,3,1,23
ダート,1200,全,オープン,2,0,2,2,29
ダート,1200,全,オープン,3,1,1,1,30
ダート,1200,全,オープン,4,2,2,1,28
ダート,1200,全,オープン,5,0,5,2,27
ダート,1200,全,オープン,6,3,1,2,28
ダート,1200,全,オープン,7,2,1,4,27
ダート,1200,全,オープン,8,5,2,4,23
ダート,1200,全,新馬,1,4,1,6,25
ダート,1200,全,新馬,2,1,2,3,32
ダート,1200,全,新馬,3,2,8,1,29
ダート,1200,全,新馬,4,1,2,2,38
ダート,1200,全,新馬,5,3,3,8,33
ダート,1200,全,新馬,6,6,4,1,41
ダート,1200,全,新馬,7,6,5,3,40
ダート,1200,全,新馬,8,5,3,3,43
ダート,1200,全,未勝利,1,14,16,19,253
ダート,1200,全,未勝利,2,24,26,22,248
ダート,1200,全,未勝利,3,21,20,20,267
ダート,1200,全,未勝利,4,23,26,25,260
ダート,1200,全,未勝利,5,25,27,19,271
ダート,1200,全,未勝利,6,19,26,21,284
ダート,1200,全,未勝利,7,27,23,26,280
ダート,1200,全,未勝利,8,29,19,29,279
ダート,1200,稍重,1勝クラス,1,3,1,2,35
ダート,1200,稍重,1勝クラス,2,4,2,3,38
ダート,1200,稍重,1勝クラス,3,0,3,4,43
ダート,1200,稍重,1勝クラス,4,2,2,3,47
ダート,1200,稍重,1勝クラス,5,4,7,8,37
ダート,1200,稍重,1勝クラス,6,8,5,1,43
ダート,1200,稍重,1勝クラス,7,4,5,4,44
ダート,1200,稍重,1勝クラス,8,4,4,4,46
ダート,1200,稍重,2勝クラス,1,0,0,0,20
ダート,1200,稍重,2勝クラス,2,1,0,2,20
ダート,1200,稍重,2勝クラス,3,2,1,1,19
ダート,1200,稍重,2勝クラス,4,3,3,2,16
ダート,1200,稍重,2勝クラス,5,1,3,4,15
ダート,1200,稍重,2勝クラス,6,1,1,1,22
ダート,1200,稍重,2勝クラス,7,2,3,2,18
ダート,1200,稍重,2勝クラス,8,3,2,1,20
ダート,1200,稍重,3勝クラス,1,0,0,0,6
ダート,1200,稍重,3勝クラス,2,2,1,0,4
ダート,1200,稍重,3勝クラス,3,0,0,0,7
ダート,1200,稍重,3勝クラス,4,1,2,1,4
ダート,1200,稍重,3勝クラス,5,0,0,1,7
ダート,1200,稍重,3勝クラス,6,1,0,1,6
ダート,1200,稍重,3勝クラス,7,0,0,0,8
ダート,1200,稍重,3勝クラス,8,0,1,1,6
ダート,1200,稍重,all,1,11,5,9,133
ダート,1200,稍重,all,2,9,15,12,142
ダート,1200,稍重,all,3,9,11,11,152
ダート,1200,稍重,all,4,9,11,17,153
ダート,1200,稍重,all,5,13,12,20,150
ダート,1200,稍重,all,6,20,14,6,158
ダート,1200,稍重,all,7,12,16,13,156
ダート,1200,稍重,all,8,19,18,14,150
ダート,1200,稍重,オープン,1,1,1,1,5
ダート,1200,稍重,オープン,2,0,1,1,6
ダート,1200,稍重,オープン,3,1,1,0,6
ダート,1200,稍重,オープン,4,0,0,0,8
ダート,1200,稍重,オープン,5,0,0,0,8
ダート,1200,稍重,オープン,6,1,0,0,7
ダート,1200,稍重,オープン,7,0,0,1,7
ダート,1200,稍重,オープン,8,1,1,1,5
ダート,1200,稍重,新馬,1,2,0,1,4
ダート,1200,稍重,新馬,2,0,0,1,6
ダート,1200,稍重,新馬,3,0,1,0,6
ダート,1200,稍重,新馬,4,0,0,0,7
ダート,1200,稍重,新馬,5,1,0,1,6
ダート,1200,稍重,新馬,6,1,1,0,6
ダート,1200,稍重,新馬,7,0,1,0,7
ダート,1200,稍重,新馬,8,0,1,1,6
ダート,1200,稍重,未勝利,1,5,3,3,54
ダート,1200,稍重,未勝利,2,1,11,5,57
ダート,1200,稍重,未勝利,3,6,4,6,60
ダート,1200,稍重,未勝利,4,3,3,10,60
ダート,1200,稍重,未勝利,5,6,2,4,67
ダート,1200,稍重,未勝利,6,7,5,3,64
ダート,1200,稍重,未勝利,7,5,6,4,63
ダート,1200,稍重,未勝利,8,8,7,6,59
ダート,1200,良,1勝クラス,1,6,5,5,78
ダート,1200,良,1勝クラス,2,3,8,6,93
ダート,1200,良,1勝クラス,3,6,9,15,82
ダート,1200,良,1勝クラス,4,7,10,8,94
ダート,1200,良,1勝クラス,5,11,6,7,102
ダート,1200,良,1勝クラス,6,7,16,11,97
ダート,1200,良,1勝クラス,7,10,10,10,104
ダート,1200,良,1勝クラス,8,19,5,7,101
ダート,1200,良,2勝クラス,1,1,2,4,75
ダート,1200,良,2勝クラス,2,4,4,2,71
ダート,1200,良,2勝クラス,3,4,3,6,73
ダート,1200,良,2勝クラス,4,6,5,5,73
ダート,1200,良,2勝クラス,5,7,5,7,69
ダート,1200,良,2勝クラス,6,7,7,3,73
ダート,1200,良,2勝クラス,7,4,9,8,69
ダート,1200,良,2勝クラス,8,12,10,10,58
ダート,1200,良,3勝クラス,1,2,0,1,34
ダート,1200,良,3勝クラス,2,1,3,1,33
ダート,1200,良,3勝クラス,3,3,1,1,33
ダート,1200,良,3勝クラス,4,4,5,2,28
ダート,1200,良,3勝クラス,5,2,2,7,30
ダート,1200,良,3勝クラス,6,5,4,1,31
ダート,1200,良,3勝クラス,7,1,4,2,35
ダート,1200,良,3勝クラス,8,3,2,6,31
ダート,1200,良,all,1,21,23,24,376
ダート,1200,良,all,2,27,31,26,386
ダート,1200,良,all,3,24,28,37,394
ダート,1200,良,all,4,37,41,28,395
ダート,1200,良,all,5,38,42,38,397
ダート,1200,良,all,6,34,46,31,422
ダート,1200,良,all,7,39,41,44,421
ダート,1200,良,all,8,57,25,48,410
ダート,1200,良,オープン,1,3,2,0,15
ダート,1200,良,オープン,2,0,1,1,19
ダート,1200,良,オープン,3,0,0,1,20
ダート,1200,良,オープン,4,1,1,1,18
ダート,1200,良,オープン,5,0,5,2,15
ダート,1200,良,オープン,6,2,0,1,19
ダート,1200,良,オープン,7,1,1,2,18
ダート,1200,良,オープン,8,4,1,3,14
ダート,1200,良,新馬,1,1,1,4,16
ダート,1200,良,新馬,2,1,2,1,20
ダート,1200,良,新馬,3,0,6,1,19
ダート,1200,良,新馬,4,1,1,2,24
ダート,1200,良,新馬,5,1,2,4,22
ダート,1200,良,新馬,6,3,2,1,27
ダート,1200,良,新馬,7,6,3,2,24
ダート,1200,良,新馬,8,5,1,2,26
ダート,1200,良,未勝利,1,8,11,9,153
ダート,1200,良,未勝利,2,17,13,15,143
ダート,1200,良,未勝利,3,10,9,10,163
ダート,1200,良,未勝利,4,17,18,10,152
ダート,1200,良,未勝利,5,17,22,11,151
ダート,1200,良,未勝利,6,10,16,14,168
ダート,1200,良,未勝利,7,16,14,20,164
ダート,1200,良,未勝利,8,14,6,20,172
ダート,1200,重,1勝クラス,1,2,1,0,14
ダート,1200,重,1勝クラス,2,0,1,3,14
ダート,1200,重,1勝クラス,3,1,1,1,15
ダート,1200,重,1勝クラス,4,0,2,2,15
ダート,1200,重,1勝クラス,5,5,1,2,13
ダート,1200,重,1勝クラス,6,3,3,1,15
ダート,1200,重,1勝クラス,7,1,0,1,22
ダート,1200,重,1勝クラス,8,0,3,2,19
ダート,1200,重,2勝クラス,1,1,0,2,12
ダート,1200,重,2勝クラス,2,2,1,0,12
ダート,1200,重,2勝クラス,3,1,1,1,12
ダート,1200,重,2勝クラス,4,0,0,3,13
ダート,1200,重,2勝クラス,5,0,2,0,14
ダート,1200,重,2勝クラス,6,2,1,0,13
ダート,1200,重,2勝クラス,7,0,2,0,14
ダート,1200,重,2勝クラス,8,2,1,2,11
ダート,1200,重,3勝クラス,1,0,0,2,6
ダート,1200,重,3勝クラス,2,1,1,0,7
ダート,1200,重,3勝クラス,3,1,0,2,6
ダート,1200,重,3勝クラス,4,1,0,0,8
ダート,1200,重,3勝クラス,5,0,2,0,7
ダート,1200,重,3勝クラス,6,1,0,0,9
ダート,1200,重,3勝クラス,7,1,0,0,8
ダート,1200,重,3勝クラス,8,0,2,1,7
ダート,1200,重,all,1,3,1,7,62
ダート,1200,重,all,2,8,4,4,61
ダート,1200,重,all,3,6,7,7,59
ダート,1200,重,all,4,3,7,7,65
ダート,1200,重,all,5,7,8,6,66
ダート,1200,重,all,6,9,7,5,70
ダート,1200,重,all,7,6,4,4,79
ダート,1200,重,all,8,5,10,6,73
ダート,1200,重,オープン,1,0,0,0,3
ダート,1200,重,オープン,2,0,0,0,4
ダート,1200,重,オープン,3,0,0,0,4
ダート,1200,重,オープン,4,1,1,0,2
ダート,1200,重,オープン,5,0,0,0,4
ダート,1200,重,オープン,6,0,1,1,2
ダート,1200,重,オープン,7,1,0,1,2
ダート,1200,重,オープン,8,0,0,0,4
ダート,1200,重,新馬,1,0,0,0,3
ダート,1200,重,新馬,2,0,0,1,2
ダート,1200,重,新馬,3,1,1,0,1
ダート,1200,重,新馬,4,0,1,0,2
ダート,1200,重,新馬,5,0,1,2,2
ダート,1200,重,新馬,6,2,0,0,4
ダート,1200,重,新馬,7,0,0,0,6
ダート,1200,重,新馬,8,0,0,0,6
ダート,1200,重,未勝利,1,0,0,3,24
ダート,1200,重,未勝利,2,5,1,0,22
ダート,1200,重,未勝利,3,2,4,3,21
ダート,1200,重,未勝利,4,1,3,2,25
ダート,1200,重,未勝利,5,2,2,2,26
ダート,1200,重,未勝利,6,1,2,3,27
ダート,1200,重,未勝利,7,3,2,2,27
ダート,1200,重,未勝利,8,3,4,1,26
ダート,1400,不良,1勝クラス,1,1,0,0,9
ダート,1400,不良,1勝クラス,2,1,1,0,8
ダート,1400,不良,1勝クラス,3,0,1,2,7
ダート,1400,不良,1勝クラス,4,1,2,0,8
ダート,1400,不良,1勝クラス,5,1,0,1,10
ダート,1400,不良,1勝クラス,6,1,1,1,10
ダート,1400,不良,1勝クラス,7,2,0,1,11
ダート,1400,不良,1勝クラス,8,0,2,2,10
ダート,1400,不良,2勝クラス,1,0,0,0,2
ダート,1400,不良,2勝クラス,2,0,0,0,2
ダート,1400,不良,2勝クラス,3,0,1,0,1
ダート,1400,不良,2勝クラス,4,0,0,0,2
ダート,1400,不良,2勝クラス,5,1,0,0,1
